annotation_order,priority,annotation_type,anchor_chapter_country,anchor_date,anchor_document_type,anchor_title,context_date,context_distance_days,context_title,context_source,context_priority_or_status,issue_or_theme,recommended_annotation_use,source_note,anchor_pdf_url,anchor_catalog_url,context_link,anchor_record_id,context_record_id
1,High,Nearby high-priority print lead,Argentina,1989-01-23,Telcon,Memorandum of Telephone Conversation,"January 24, 1989",1,Memorandum of Conversation Between the President,Latin American Affairs Directorate Subject Files,High / 72,presidential diplomacy,"Verify the page image/OCR and decide whether this lead should be printed, used as annotation context, or ruled out against the anchor document.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Alfonsin.pdf,https://catalog.archives.gov/id/428079775,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf#page=107,bush-library-428079775,subject-print-470766481-107-memorandum-of-conversation
2,High,Nearby high-priority print lead,Argentina,1989-01-23,Telcon,Memorandum of Telephone Conversation,"January 26, 1989",3,Ambassadorial request to meet,Latin American Directorate Chronological Files,High / 78,"democracy; presidential diplomacy","Verify the page image/OCR and decide whether this lead should be printed, used as annotation context, or ruled out against the anchor document.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-009, February 1, 1989-March 1, 1989 [5]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Alfonsin.pdf,https://catalog.archives.gov/id/428079775,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-009.pdf#page=142,bush-library-428079775,chronological-print-470766410-142-memorandum
3,High,Nearby high-priority print lead,Argentina,1989-05-13,Telcon,Memorandum of Telephone Conversation,"May 14, 1989",1,Letter to President Alfonsin of Argentina,Latin American Directorate Chronological Files,High / 90,"democracy; debt and economy; presidential diplomacy","Verify the page image/OCR and decide whether this lead should be printed, used as annotation context, or ruled out against the anchor document.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-008, February 1, 1989-March 1, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-05-13--Alfonsin.pdf,https://catalog.archives.gov/id/428080013,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf#page=29,bush-library-428080013,chronological-print-470766409-29-memorandum
4,High,Nearby high-priority print lead,Argentina,1989-05-13,Telcon,Memorandum of Telephone Conversation,"May 15, 1989",2,Transmittal of the Memorandum of Conversation of,Latin American Directorate Chronological Files,High / 72,presidential diplomacy,"Verify the page image/OCR and decide whether this lead should be printed, used as annotation context, or ruled out against the anchor document.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-010, May 1, 1989-May 15, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-05-13--Alfonsin.pdf,https://catalog.archives.gov/id/428080013,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-010.pdf#page=22,bush-library-428080013,chronological-print-470766427-22-memorandum-of-conversation
5,High,Nearby high-priority print lead,Argentina,1989-05-13,Telcon,Memorandum of Telephone Conversation,"May 16, 1989",3,Memorandum of Conversation: President’s Telephone,Latin American Directorate Chronological Files,High / 72,presidential diplomacy,"Verify the page image/OCR and decide whether this lead should be printed, used as annotation context, or ruled out against the anchor document.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-015, May 16, 1989-May 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-05-13--Alfonsin.pdf,https://catalog.archives.gov/id/428080013,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf#page=50,bush-library-428080013,chronological-print-470766432-50-memorandum-of-conversation
6,High,Nearby high-priority print lead,Argentina,1989-05-13,Telcon,Memorandum of Telephone Conversation,"May 16, 1989",3,Memorandum of Conversation: President’s Telephone,Latin American Affairs Directorate Subject Files,High / 72,presidential diplomacy,"Verify the page image/OCR and decide whether this lead should be printed, used as annotation context, or ruled out against the anchor document.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-05-13--Alfonsin.pdf,https://catalog.archives.gov/id/428080013,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf#page=14,bush-library-428080013,subject-print-470766481-14-memorandum-of-conversation
7,High,Nearby high-priority print lead,Argentina,1989-09-27,Memcon,Memorandum of Conversation,"September 27, 1989",0,Meeting with President Carlos Menem of,Latin American Directorate Chronological Files,High / 72,"debt and economy; presidential diplomacy","Verify the page image/OCR and decide whether this lead should be printed, used as annotation context, or ruled out against the anchor document.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-018, September 16, 1989-September 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",documents/argentina/1989-09-27-bush-carlos-saul-menem-memcon-91107-005-p100-scowcroft.pdf,https://catalog.archives.gov/id/366551664,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-018.pdf#page=36,scowcroft-366551664-100-carlos-saul-menem-memcon,chronological-print-470766455-36-memorandum-of-conversation
8,High,Nearby high-priority print lead,Argentina,1989-09-27,Memcon,Memorandum of Conversation,"September 27, 1989",0,Meeting with President Carlos Menem of,Latin American Affairs Directorate Subject Files,High / 72,"debt and economy; presidential diplomacy","Verify the page image/OCR and decide whether this lead should be printed, used as annotation context, or ruled out against the anchor document.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-005, Argentina - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",documents/argentina/1989-09-27-bush-carlos-saul-menem-memcon-91107-005-p100-scowcroft.pdf,https://catalog.archives.gov/id/366551664,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-005.pdf#page=68,scowcroft-366551664-100-carlos-saul-menem-memcon,subject-print-470766478-68-memorandum-of-conversation
9,High,Nearby high-priority print lead,Argentina,1989-09-27,Memcon,Memorandum of Conversation,"September 27, 1989",0,Meeting with President Carlos Menem of,Latin American Directorate Chronological Files,High / 72,"debt and economy; presidential diplomacy","Verify the page image/OCR and decide whether this lead should be printed, used as annotation context, or ruled out against the anchor document.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-018, September 16, 1989-September 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-09-27--Menem.pdf,https://catalog.archives.gov/id/428080237,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-018.pdf#page=36,bush-library-428080237,chronological-print-470766455-36-memorandum-of-conversation
10,High,Nearby high-priority print lead,Argentina,1989-09-27,Memcon,Memorandum of Conversation,"September 27, 1989",0,Meeting with President Carlos Menem of,Latin American Affairs Directorate Subject Files,High / 72,"debt and economy; presidential diplomacy","Verify the page image/OCR and decide whether this lead should be printed, used as annotation context, or ruled out against the anchor document.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-005, Argentina - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-09-27--Menem.pdf,https://catalog.archives.gov/id/428080237,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-005.pdf#page=68,bush-library-428080237,subject-print-470766478-68-memorandum-of-conversation
