ledger_rank,review_priority,country_risk_level,country_risk_score,source_family,repository,record_group_or_collection,series,subseries_or_file_group,folder_title,folder_or_file_id,folder_naid,parent_collection_naid,evidence_classes,countries,years,date_span,verified_private_record_count,duplicate_private_source_count,print_candidate_count,high_priority_print_candidate_count,daily_diary_backup_reference_count,total_evidence_rows,verified_private_page_total,duplicate_source_page_total,print_candidate_page_starts,access_or_release_statuses,foia_numbers,source_note_statuses,sample_private_records,sample_duplicate_private_sources,sample_print_candidates,sample_diary_backup_references,recommended_compiler_use,catalog_url,pdf_url,parent_collection_url,source_notes,provenance_trail
1,Critical,Critical,95,Latin American Affairs Directorate Subject Files,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,Latin American Affairs Directorate Subject Files,CF00189-008,"Argentina - January 20, 1989-December 31, 1989 [4]",CF00189-008,470766481,376217847,Print-candidate lead,"Argentina; Bolivia; Peru; Uruguay",1989,1989-01-24 to 1989-06-08,0,0,30,16,0,30,0,0,"107; 108; 14; 15; 19; 2; 20; 23; 26; 27; 29; 3; 31; 38; 43; 47; 48; 49; 50; 52; 54; 6; 62; 8; 87; 91; 92; 93",Restricted - Possibly,2015-0017-S,FRUS-style ready,,,"1989-05-08 - High - PCC Meeting on Argentina; 1989-04-27 - High - Your Meeting with Rodolfo Terragano and Felix; 1989-02-13 - High - Letter to President Alfonsin of Argentina; 1989-02-09 - High - Letter from President Alfonsin Requesting; High - “BEGIN| TALKING POINTS: A. THE NEED FOR DIALOGUE: NON-PAPER & (SS tte; High - TALKING POINTS -- Despite economic difficulties, the upcoming elections will mark the first transition in Argentina from one; 1989-06-08 - High - Proposed Meeting Between the President and; 1989-06-07 - High - Request for Meeting with you by Outgoing; 1989-05-16 - High - Memorandum of Conversation: President’s Telephone; 1989-05-30 - High - U.S. Ambassador to Argentina Requests Appointment; 1989-05-23 - High - Appointment request for Ambassador to Argentina; 1989-05-03 - High - PCC Meeting on Managing Issues and Relations:",,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.",https://catalog.archives.gov/id/470766481,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/376217847,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.","Argentina - January 20, 1989-December 31, 1989 [4]; CF00189-008; Latin American Affairs Directorate Subject Files"
2,Critical,Critical,95,Latin American Affairs Directorate Subject Files,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,Latin American Affairs Directorate Subject Files,CF00195-007,"Colombia - January 20, 1989-December 31, 1989 [1]",CF00195-007,470766564,376217847,Print-candidate lead,"Bolivia; Colombia; Ecuador; Peru",1989,1989-04-11 to 1989-12-26,0,0,32,15,0,32,0,0,"10; 2; 3; 38; 39; 41; 43; 46; 54; 59; 60; 67; 68; 69; 73; 75; 76; 77; 8; 84; 89; 90; 94; 95; 96; 98",Restricted - Possibly,2001-0434-F,FRUS-style ready,,,"1989-10-30 - High - Telephone Call to Colombian President; High - From Philip Hughes to; 1989-12-19 - High - Your Meeting with U.S. Ambassador to Colombia; 1989-11-22 - High - Security Survey of Cartagena, Colombia; 1989-10-30 - High - Telephone Conversation with President Barco; 1989-12-26 - High - Colombian Confiscation of U.S. Corporate Jets; 1989-12-20 - High - Telephone Conversation with President Barco; 1989-11-01 - High - Colombian Request for Additional Economic; High - From William Pryce to; 1989-12-21 - High - Memorandum of Telephone Conversation with; 1989-12-15 - High - To: BRENT SCOWCROFT fo; From: WILLIAM T. PRYCE oe am b.; 1989-11-28 - High - Memorandum of Telephone Conversation with",,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.",https://catalog.archives.gov/id/470766564,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf,https://catalog.archives.gov/id/376217847,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-007, Colombia - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.","CF00195-007; Colombia - January 20, 1989-December 31, 1989 [1]; Latin American Affairs Directorate Subject Files"
3,Critical,Critical,87,Latin American Affairs Directorate Subject Files,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,Latin American Affairs Directorate Subject Files,CF00193-016,"Uruguay - January 20, 1989-December 31, 1989",CF00193-016,470766531,376217847,Print-candidate lead,"Argentina; Brazil; Peru; Uruguay","1989; 1990",1989-05-11 to 1990-02-02,0,0,27,15,0,27,0,0,"114; 116; 118; 123; 136; 137; 140; 20; 24; 29; 3; 4; 47; 48; 5; 56; 57; 60; 65; 68; 71; 72; 9; 96; 97",Restricted - Possibly,2015-0017-S,FRUS-style ready,,,"1989-12-20 - High - President-Elect Luis Alberto Lacalle of Uruguay; 1989-08-16 - High - President Julio Maria Sanguinetti of Uruguay Requests a; 1989-09-13 - High - Presidential Meeting with Uruguayan President; 1989-09-15 - High - Presidential Meeting with Uruguayan President; 1989-06-30 - High - Presidential Reply to Letter from the President of; 1989-06-28 - High - Presidential Reply to Letter from the President of; High - Meeting With LaCalle (Uruguay); n.d. - High - [page 3 only]; 1990-02-02 - High - President’s Meeting with President-Elect; 1990-02-02 - High - Briefing Materials for the President's Meeting with; 1990-02-01 - High - President’s Meeting with President-Elect; 1990-01-03 - High - Schedule Proposal for Presidential Meeting with",,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.",https://catalog.archives.gov/id/470766531,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf,https://catalog.archives.gov/id/376217847,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-016, Uruguay - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.","CF00193-016; Latin American Affairs Directorate Subject Files; Uruguay - January 20, 1989-December 31, 1989"
4,Critical,High,68,Latin American Affairs Directorate Subject Files,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,Latin American Affairs Directorate Subject Files,CF00193-018,"Venezuela - January 20, 1989-December 31, 1989 [1]",CF00193-018,470766533,376217847,Print-candidate lead,"Brazil; Ecuador; Venezuela",1989,1989-06-21 to 1989-12-22,0,0,31,14,0,31,0,0,"102; 118; 126; 134; 135; 136; 137; 15; 16; 18; 24; 25; 29; 3; 30; 31; 32; 34; 37; 39; 4; 42; 47; 48; 62; 63; 64; 7; 70; 86; 90",Restricted - Possibly,2009-0704-F,FRUS-style ready,,,"1989-06-21 - High - Nicaragua -- Recommendation that President; 1989-10-23 - High - President Perez' Letter to President Bush; 1989-08-22 - High - Telephone Conversation with Carlos; 1989-06-22 - High - Proposed Telephone Call by the President to; High - TALKING POINTS WITH PRESIDENT PEREZ fe); 1989-12-21 - High - Memorandum of Telephone Conversation with; 1989-11-01 - High - Telephone Conversation with Venezuelan; 1989-11-03 - High - Memorandum of Telephone Conversation with; 1989-09-25 - High - Meeting with Venezuelan President Carlos; 1989-10-23 - High - Memorandum of Conversation with Venezuelan; 1989-10-16 - High - Memorandum of Conversation with Reinaldo; High - J. Stapleton Roy to",,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.",https://catalog.archives.gov/id/470766533,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-018.pdf,https://catalog.archives.gov/id/376217847,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-018, Venezuela - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.","CF00193-018; Latin American Affairs Directorate Subject Files; Venezuela - January 20, 1989-December 31, 1989 [1]"
5,Critical,Critical,95,Latin American Affairs Directorate Subject Files,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,Latin American Affairs Directorate Subject Files,CF00195-005,"Chile - January 20, 1989-December 31, 1989",CF00195-005,470766562,376217847,Print-candidate lead,Chile,"1989; 1990",1989-01-23 to 1990-01-06,0,0,21,13,0,21,0,0,"12; 15; 16; 21; 25; 29; 3; 32; 33; 37; 42; 43; 45; 46; 48; 68; 69; 70; 71; 73; 76",Restricted - Possibly,2004-0731-F,FRUS-style ready,,,"1989-08-18 - High - Request That You Meet with the Chilean Chief of; 1989-05-03 - High - Request by Ambassador Gillespie for Meeting With; High - TALKING POINTS FOR PRESIDENT IN PUBLIC PORTION OF MEETING WITH JACEK KURON AND MONICA JIMENEZ DE BARROS -- It is an honor to welcome to the White House today two; 1989-03-03 - High - Guidance for Ambassador Gillespie (U); High - TALKING POINTS TO BE MADE WITH CHILBAN FOREIGN MINISTER HERNAN FELIPE ERRAZURIZ CORREA -- We have a keen interest that the upcoming elections in Chile; 1989-02-17 - High - Chile Policy; 1989-11-03 - High - PCC Meeting on Chile; 1989-11-14 - High - Meeting with Chilean Foreign Minister; 1989-05-02 - High - President’s Meeting with Kuron and Jimenez,; CONEERENIES - High - Guidance for Ambassador Gillespie; High - Request by Amb Gillespie; 1989-01-24 - High - Appointment of Octavio Errazuriz Guilisasti of the",,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.",https://catalog.archives.gov/id/470766562,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/376217847,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.","CF00195-005; Chile - January 20, 1989-December 31, 1989; Latin American Affairs Directorate Subject Files"
6,Critical,Critical,95,Latin American Directorate Chronological Files,George H.W. Bush Library,Latin American Directorate Chronological Files,Latin American Directorate Chronological Files,CF00300-013,"March 1, 1989-March 16, 1989 [4]",CF00300-013,470766414,2197972,Print-candidate lead,"Bolivia; Chile; Venezuela",1989,1989-02-17 to 1989-03-06,0,0,15,11,0,15,0,0,"29; 3; 33; 34; 35; 41; 42; 44; 45; 50; 51; 52; 53; 54; 58",Restricted - Possibly,2015-0017-S,FRUS-style ready,,,"1989-03-06 - High - Guidance for Ambassador Gillespie (U); 1989-03-02 - High - Presidential Telephone Call to Venezuelan; 1989-02-17 - High - Chile Policy; 1989-03-03 - High - Additiondl Talking Points for Presidential Call; High - Additional Points to be Made During Your Call to; 1989-03-02 - High - Guidance for Ambassador Gillespie; High - ; Request by Amb Gillespie; 1989-03-03 - High - Transmittal of Memorandum of Conversation to; 1989-03-03 - High - Transmittal to the State Department of the; 1989-03-03 - High - Instructions from the President to Convey to; 1989-03-01 - High - Meeting with U.S. Ambassador to Bolivia, Robert; n.d. - Medium - To: Melvyn Levitsky/Emily Walker From: Philip Hughes n.d. On gx Re: President's Telephone Conversation with Venezuelan President Carlos Andres Perez 08a. Paper Re: Action Plan (1 pp.)",,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.",https://catalog.archives.gov/id/470766414,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf,https://catalog.archives.gov/id/2197972,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-013, March 1, 1989-March 16, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.","CF00300-013; Latin American Directorate Chronological Files; March 1, 1989-March 16, 1989 [4]"
7,Critical,Critical,95,Latin American Affairs Directorate Subject Files,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,Latin American Affairs Directorate Subject Files,CF00189-002,Andean [Drug] Summit 1989 [1],CF00189-002,470766475,376217847,Print-candidate lead,"Bolivia; Colombia; Peru",1989,1989-10-25 to 1989-12-07,0,0,14,11,0,14,0,0,"14; 2; 20; 21; 4; 72; 73; 74; 85; 91; 97",Restricted - Possibly,2015-0017-S,FRUS-style ready,,,"1989-12-04 - High - Report by Bruce Gelb on His Trip to the Andean; 1989-10-25 - High - Andean Trade Package; High - Andean Trade Initiative; 1989-11-01 - High - Deputies Committee Meeting, Thursday,; 1989-11-09 - High - Conclusions of PCC Meeting on Andean Countries; High - Andean Trade Package; 1989-11-08 - High - Deputies Committee Discussjon Paper; High - To: Policy Coordinating Committee From:; High - To: Robert Gates From: Rand; High - Re: PCC Conclusions To: Policy Coordinating Committee From:; 1989-11-07 - High - Deputies Committee Discussion Paper re Andean; Reference - Report on Director Gelb's Trip to Peru,",,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.",https://catalog.archives.gov/id/470766475,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf,https://catalog.archives.gov/id/376217847,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-002, Andean [Drug] Summit 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.","Andean [Drug] Summit 1989 [1]; CF00189-002; Latin American Affairs Directorate Subject Files"
8,Critical,Critical,95,Latin American Affairs Directorate Subject Files,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,Latin American Affairs Directorate Subject Files,CF00194-016,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]",CF00194-016,470766553,376217847,Print-candidate lead,"Bolivia; Brazil; Colombia; Ecuador",1989,1989-02-19 to 1989-03-23,0,0,12,10,0,12,0,0,"18; 23; 24; 3; 30; 48; 49; 52; 93; 94; 98",Restricted - Possibly,2015-0017-S,FRUS-style ready,,,"1989-03-10 - High - Reply to Letter from General Wickham; High - The President's Drug Certifications; 1989-02-21 - High - Certification of Narcotics Source Countries; High - Certification for Narcotics Source; High - Certifications for Narcotics Source and Transit; High - Certifications for Narcotics Source; 1989-02-19 - High - Presidential Certifications for; 1989-03-23 - High - Reply to President Arias’ Letter on Narcotics; 1989-02-22 - High - Reply to President Arias’ Letter on Narcotics; 1989-03-21 - High - President's Reply to Costa Rican President Oscar; Medium - To: President Arias From: President; Medium - To: President Arias From: President",,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.",https://catalog.archives.gov/id/470766553,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf,https://catalog.archives.gov/id/376217847,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-016, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.","CF00194-016; Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]; Latin American Affairs Directorate Subject Files"
9,Critical,Critical,86,Latin American Affairs Directorate Subject Files,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,Latin American Affairs Directorate Subject Files,CF00196-013,"Guyana - January 20, 1989-December 31, 1989",CF00196-013,470766599,376217847,Print-candidate lead,"Guyana; Venezuela",1989,1989-02-27 to 1989-06-19,0,0,11,10,0,11,0,0,"12; 14; 18; 27; 37; 39; 42; 65; 66; 69; 70",Restricted - Possibly,2015-0017-S,FRUS-style ready,,,"1989-05-13 - High - Photo Opportunity with the President for Guyanese; 1989-06-19 - High - The President’s Meeting with President; 1989-06-19 - High - Memorandum of the President’s Conversation with; 1989-06-16 - High - Background Paper and Points To Be Made for the; High - SUBJ: TALKING POINTS FOR POTENTIAL QUALE-HOYET MEETING 1. GONPEIDENEIAL-- ENTIRE TEXT. 2. PRESIDENT HUGH DESMOND HOYTE HAS ANNOUNCED HIS INTENSION; 1989-06-19 - High - Meeting with Guyanese President Hugh Desmond; High - TALKING POINTS FOR THE PRESIDENT'S MEETING WITH HOYTE; 1989-05-24 - High - ' Request by Guyana’s President for a Brief Visit; High - Photo Opportunity with the President for Guyanese; 1989-02-27 - High - Robert Pastorino’s Meeting with the Guyanese; 1989-02-27 - Medium - Meeting’with the Guyanese Minister of Finance",,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.",https://catalog.archives.gov/id/470766599,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00196-013.pdf,https://catalog.archives.gov/id/376217847,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00196, CF00196-013, Guyana - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.","CF00196-013; Guyana - January 20, 1989-December 31, 1989; Latin American Affairs Directorate Subject Files"
10,Critical,Critical,95,Latin American Affairs Directorate Subject Files,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,Latin American Affairs Directorate Subject Files,CF00189-012,"Bolivia - January 20, 1989-December 31, 1989",CF00189-012,470766485,376217847,Print-candidate lead,"Argentina; Bolivia; Colombia; Peru",1989,1989-03-01 to 1989-12-18,0,0,27,9,0,27,0,0,"102; 12; 26; 27; 33; 34; 37; 40; 48; 49; 50; 51; 52; 53; 55; 56; 61; 68; 69; 73; 79; 80; 82; 84; 86; 89; 98",Restricted - Possibly,2015-0017-S,FRUS-style ready,,,"1989-12-18 - High - Appointment Request with the President; High - PRESIDENTIAL LETTER ON PANAMA; 1989-07-31 - High - Congratulatory Letter from President Bush to the; High - Talking Points for the President CONPERENL LAL. DECL: OADR; 1989-10-02 - High - Appointment of Jorge Crespo Velasco of Bolivia as; 1989-09-28 - High - Appointment of Jorge Crespo Velasco of Bolivia as; 1989-10-11 - High - Letter of Introduction for OPIC Mission to Bolivia; 1989-07-12 - High - The President’s Telephone Conversation with; 1989-03-01 - High - Meeting with U.S. Ambassador to Bolivia, Robert; Medium - TALKING POINTS FOR THE PRESIDENT: -- The United States appreciates the tough policies that your government has carried out in order to get Bolivia's; 1989-10-05 - Medium - Presidential Letter of Introduction for.OPIC; 1989-08-03 - Medium - Congratulatory Letter to the New President of",,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.",https://catalog.archives.gov/id/470766485,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf,https://catalog.archives.gov/id/376217847,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-012, Bolivia - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.","Bolivia - January 20, 1989-December 31, 1989; CF00189-012; Latin American Affairs Directorate Subject Files"
