chapter_number,chapter_country,date,date_line,document_type,document_title,subject_line,participants,page_count,release_status,source_bucket,local_identifier,naid,source_title,source_note,provenance_note,frus_topics,pdf_url,catalog_url,daily_diary_backup_titles,daily_diary_backup_pdfs,daily_diary_backup_catalog_urls
1,Argentina,1989-01-23,"January 23, 1989",Telcon,Memorandum of Telephone Conversation,"Telephone Call from the President to President Alfonsin of Argentina, January 23, 1989","George H. W. Bush; Raul Alfonsin",3,Full,Presidential Telcon Files,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,428079775,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 1/23/1989; Type Telcon; Participants Alfonsin, Raul; Country Argentina; Release Status Full; NAID 428079775. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Telephone Call from the President to President Alfonsin of Argentina, January 23, 1989, NAID 428079775. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989, NAID 322361434. Digital object: 1989-01-23--Alfonsin.pdf, object ID 428079776, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Alfonsin.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551686, 91111-001, source pages 12-13.","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Telcon",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Alfonsin.pdf,https://catalog.archives.gov/id/428079775,"[Presidential Daily Backup] 1/23/1989; [Presidential Daily Diary] 1/23/1989 [EMPTY]","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_23_89-12789-008_415889605.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_23_89-12789-007_415889604.pdf","https://catalog.archives.gov/id/415889605; https://catalog.archives.gov/id/415889604"
1,Argentina,1989-05-13,"May 13, 1989",Telcon,Memorandum of Telephone Conversation,"The President's Telephone Conversation with Argentine President Raul Alfonsin, May 13, 1989","George H. W. Bush; Raul Alfonsin",4,Full,Presidential Telcon Files,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: May 1989,428080013,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: May 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: May 1989. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 5/13/1989; Type Telcon; Participants Alfonsin, Raul; Country Argentina; Release Status Full; NAID 428080013. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: The President's Telephone Conversation with Argentine President Raul Alfonsin, May 13, 1989, NAID 428080013. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: May 1989, NAID 325592632. Digital object: 1989-05-13--Alfonsin.pdf, object ID 428080014, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-05-13--Alfonsin.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551687, 91111-002, source pages 24-28.","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Telcon",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-05-13--Alfonsin.pdf,https://catalog.archives.gov/id/428080013,"[Presidential Daily Backup] 5/13/1989; [Presidential Daily Diary] 5/13/1989","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_13_89-12796-024_415889825.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_13_89-12796-023_415889824.pdf","https://catalog.archives.gov/id/415889825; https://catalog.archives.gov/id/415889824"
1,Argentina,1989-09-27,"September 27, 1989",Memcon,Memorandum of Conversation,Meeting with President Carlos Menem of Argentina,"George H. W. Bush; Carlos Saul Menem",7,Declassified,Scowcroft extract,91107-005,366551664,"Presidential Meetings - Memorandum of Conversations 7/14/89 - 10/2/89; 41-bpr-scow-pcor-memcon-91107-005.pdf; source pages 100-106","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Memcons Files, OA/ID 91107-005, Presidential Meetings - Memorandum of Conversations 7/14/89 - 10/2/89. Declassified.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Memcons Files, OA/ID 91107-005, Presidential Meetings - Memorandum of Conversations 7/14/89 - 10/2/89. Declassified. Originally processed under FOIA 2009-0275-S. Project PDF begins with the PDF provenance sheet, followed by source pages 100-106. Digital source file: 41-bpr-scow-pcor-memcon-91107-005.pdf. Catalog: https://catalog.archives.gov/id/366551664.","Latin America; South America; Argentina; Brent Scowcroft Papers; Head-of-state memcons and telcons",documents/argentina/1989-09-27-bush-carlos-saul-menem-memcon-91107-005-p100-scowcroft.pdf,https://catalog.archives.gov/id/366551664,"[Presidential Daily Backup] 9/27/1989; [Presidential Daily Diary] 9/27/1989 [EMPTY]","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_27_89-12806-020_415890099.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_27_89-12806-019_415890098.pdf","https://catalog.archives.gov/id/415890099; https://catalog.archives.gov/id/415890098"
1,Argentina,1989-09-27,"September 27, 1989",Memcon,Memorandum of Conversation,"Meeting with President Carlos Menem of Argentina, September 27, 1989","George H. W. Bush; Carlos Menem",8,Full,Presidential Memcon Files,[Memorandum of Conversations (Memcons) - June 1989-December 1989]: September 1989,428080237,"Presidential Memcon Files; [Memorandum of Conversations (Memcons) - June 1989-December 1989]: September 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: September 1989. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 9/27/1989; Type Memcon; Participants Menem, Carlos; Country Argentina; Release Status Full; NAID 428080237. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Meeting with President Carlos Menem of Argentina, September 27, 1989, NAID 428080237. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons) - June 1989-December 1989]: September 1989, NAID 325377393. Digital object: 1989-09-27--Menem.pdf, object ID 428080238, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-09-27--Menem.pdf. Access restriction: Unrestricted.","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Memcon",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-09-27--Menem.pdf,https://catalog.archives.gov/id/428080237,"[Presidential Daily Backup] 9/27/1989; [Presidential Daily Diary] 9/27/1989 [EMPTY]","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_27_89-12806-020_415890099.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_27_89-12806-019_415890098.pdf","https://catalog.archives.gov/id/415890099; https://catalog.archives.gov/id/415890098"
1,Argentina,1989-12-20,"December 20, 1989",Telcon,Memorandum of Telephone Conversation,"Telephone Conversation with President Menem of Argentina, December 20, 1989","George H. W. Bush; Carlos Menem",4,Full,Presidential Telcon Files,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989,428080455,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 12/20/1989; Type Telcon; Participants Menem, Carlos; Country Argentina; Release Status Full; NAID 428080455. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Telephone Conversation with President Menem of Argentina, December 20, 1989, NAID 428080455. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989, NAID 325592639. Digital object: 1989-12-20--Menem.pdf, object ID 428080456, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-12-20--Menem.pdf. Access restriction: Unrestricted.","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Telcon",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-12-20--Menem.pdf,https://catalog.archives.gov/id/428080455,"[Presidential Daily Backup] 12/20/1989; [Presidential Daily Diary] 12/20/1989 [EMPTY]","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-12_20_89-12813-022_415890267.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-12_20_89-12813-021_415890266.pdf","https://catalog.archives.gov/id/415890267; https://catalog.archives.gov/id/415890266"
1,Argentina,1990-03-01,"March 1, 1990",Telcon,Memorandum of a Telephone Conversation,Telephone conversation with President Carlos Menem of Argentina (U),"George H. W. Bush; Carlos Saul Menem",3,Declassified,Scowcroft extract,91111-005,366551690,"Presidential Telephone Calls - Memorandum of Conversations 1/1/90 - 3/15/90; 41-bpr-scow-pcor-telcon-91111-005.pdf; source pages 88-90","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telcon Files, OA/ID 91111-005, Presidential Telephone Calls - Memorandum of Conversations 1/1/90 - 3/15/90. Declassified.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telcon Files, OA/ID 91111-005, Presidential Telephone Calls - Memorandum of Conversations 1/1/90 - 3/15/90. Declassified. Originally processed under FOIA 2009-0275-S. Project PDF begins with the PDF provenance sheet, followed by source pages 88-90. Digital source file: 41-bpr-scow-pcor-telcon-91111-005.pdf. Catalog: https://catalog.archives.gov/id/366551690.","Latin America; South America; Argentina; Brent Scowcroft Papers; Head-of-state memcons and telcons",documents/argentina/1990-03-01-bush-carlos-saul-menem-telcon-91111-005-p88-scowcroft.pdf,https://catalog.archives.gov/id/366551690,"[Presidential Daily Backup] 3/1/1990; [Presidential Daily Diary] 3/1/1990","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-03_01_90-12819-016_415890409.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-03_01_90-12819-015_415890408.pdf","https://catalog.archives.gov/id/415890409; https://catalog.archives.gov/id/415890408"
1,Argentina,1990-03-01,"March 1, 1990",Telcon,Memorandum of Telephone Conversation,"Telephone conversation with President Carlos Menem of Argentina, March 1, 1990","George H. W. Bush; Carlos Menem",4,Full,Presidential Telcon Files,[Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: March 1990,428080601,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: March 1990","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: March 1990. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 3/1/1990; Type Telcon; Participants Menem, Carlos; Country Argentina; Release Status Full; NAID 428080601. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Telephone conversation with President Carlos Menem of Argentina, March 1, 1990, NAID 428080601. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: March 1990, NAID 325592642. Digital object: 1990-03-01--Menem.pdf, object ID 428080602, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-03-01--Menem.pdf. Access restriction: Unrestricted.","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Telcon",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-03-01--Menem.pdf,https://catalog.archives.gov/id/428080601,"[Presidential Daily Backup] 3/1/1990; [Presidential Daily Diary] 3/1/1990","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-03_01_90-12819-016_415890409.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-03_01_90-12819-015_415890408.pdf","https://catalog.archives.gov/id/415890409; https://catalog.archives.gov/id/415890408"
1,Argentina,1990-06-28,"June 28, 1990",Telcon,Memorandum of a Telephone Conversation,Telephone Conversation with President Carlos Sail Menem of Argentina (VU),"George H. W. Bush; Carlos Saul Menem",4,Declassified,Scowcroft extract,91111-007,366551692,"Presidential Telephone Calls - Memorandum of Conversations 6/23/90 - 7/31/90; 41-bpr-scow-pcor-telcon-91111-007.pdf; source pages 20-23","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telcon Files, OA/ID 91111-007, Presidential Telephone Calls - Memorandum of Conversations 6/23/90 - 7/31/90. Declassified.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telcon Files, OA/ID 91111-007, Presidential Telephone Calls - Memorandum of Conversations 6/23/90 - 7/31/90. Declassified. Originally processed under FOIA 2009-0275-S. Project PDF begins with the PDF provenance sheet, followed by source pages 20-23. Digital source file: 41-bpr-scow-pcor-telcon-91111-007.pdf. Catalog: https://catalog.archives.gov/id/366551692.","Latin America; South America; Argentina; Brent Scowcroft Papers; Head-of-state memcons and telcons",documents/argentina/1990-06-28-bush-carlos-saul-menem-telcon-91111-007-p20-scowcroft.pdf,https://catalog.archives.gov/id/366551692,"[Presidential Daily Backup] 6/28/1990; [Presidential Daily Diary] 6/28/1990","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-06_28_90-12831-002_415890647.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-06_28_90-12831-001_415890646.pdf","https://catalog.archives.gov/id/415890647; https://catalog.archives.gov/id/415890646"
1,Argentina,1990-06-28,"June 28, 1990",Telcon,Memorandum of Telephone Conversation,"Telephone Conversation with President Carlos Saul Menem of Argentina, June 28, 1990","George H. W. Bush; Carlos Menem",3,Full,Presidential Telcon Files,[Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: June 1990,428080817,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: June 1990","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: June 1990. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 6/28/1990; Type Telcon; Participants Menem, Carlos; Country Argentina; Release Status Full; NAID 428080817. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Telephone Conversation with President Carlos Saul Menem of Argentina, June 28, 1990, NAID 428080817. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: June 1990, NAID 325592645. Digital object: 1990-06-28--Menem.pdf, object ID 428080818, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-06-28--Menem.pdf. Access restriction: Unrestricted.","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Telcon",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-06-28--Menem.pdf,https://catalog.archives.gov/id/428080817,"[Presidential Daily Backup] 6/28/1990; [Presidential Daily Diary] 6/28/1990","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-06_28_90-12831-002_415890647.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-06_28_90-12831-001_415890646.pdf","https://catalog.archives.gov/id/415890647; https://catalog.archives.gov/id/415890646"
1,Argentina,1990-10-01,"October 1, 1990",Memcon,Memorandum of Conversation,"Meeting with President Carlos Saul Menem of Argentina, October 1, 1990","George H. W. Bush; Carlos Menem",6,Full,Presidential Memcon Files,[Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990,428081105,"Presidential Memcon Files; [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 10/1/1990; Type Memcon; Participants Menem, Carlos; Country Argentina; Release Status Full; NAID 428081105. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Meeting with President Carlos Saul Menem of Argentina, October 1, 1990, NAID 428081105. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990, NAID 325541480. Digital object: 1990-10-01--Menem.pdf, object ID 428081106, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-10-01--Menem.pdf. Access restriction: Unrestricted.","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Memcon",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-10-01--Menem.pdf,https://catalog.archives.gov/id/428081105,"[Presidential Daily Backup] 10/01/1990; [Presidential Daily Diary] 10/01/1990","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-10_01_90-12838-004_415890837.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-10_01_90-12838-003_415890836.pdf","https://catalog.archives.gov/id/415890837; https://catalog.archives.gov/id/415890836"
