queue_order,action_type,urgency,country,country_risk_score,private_record_count,high_priority_print_candidates,date,document_type,title,source_series,source_folder,priority,score,release_or_access_status,page_count_or_range,evidence,recommended_action,source_note,pdf_url,catalog_url
1000,Structural gap,Critical,,,,557,,Compiler audit,Print-candidate backlog is much larger than the verified private corpus,Compiler gap audit,,,,,,"935 OCR-derived print leads, including 557 high-priority leads, are not yet selected, transcribed, or compared against the country chronologies.",Triage high-priority leads by country and theme before treating the memcon/telcon chapters as complete.,,,
1100,Structural gap,High,,,,557,,Compiler audit,Current site sources are NSC/Bush Library-heavy,Compiler gap audit,,,,,,"The site now covers Bush Library memcons/telcons, Scowcroft extracts, selected NSC Latin America files, Deal files, and Public Papers. It does not yet represent State central files, embassy cables, Treasury, Defense, CIA, DEA, or congressional notification files.","Use this site as a presidential/NSC starting point, not as the full FRUS evidentiary universe.",,,
1100,Structural gap,High,,,,557,,Compiler audit,Public-private chronology mismatches remain unresolved,Compiler gap audit,,,,,,"Bolivia: 47 public statements vs. 4 private records; Chile: 41 public statements vs. 3 private records; Paraguay: 23 public statements vs. 2 private records; Peru: 66 public statements vs. 4 private records; Ecuador: 27 public statements vs. 3 private records","For mismatch countries, map public statements to surrounding private memoranda, cables, briefing papers, and policy papers.",,,
1100,Structural gap,High,,,,557,,Compiler audit,Several countries have thin or absent private-record coverage,Compiler gap audit,,,,,,"Bolivia: 4 private records, 47 high-priority leads; Chile: 3 private records, 32 high-priority leads; Suriname: 0 private records, 2 high-priority leads; Paraguay: 2 private records, 19 high-priority leads; Peru: 4 private records, 29 high-priority leads; Guyana: 1 private records, 25 high-priority leads; Ecuador: 3 private records, 11 high-priority leads","Prioritize these chapters for non-presidential NSC files, State Department records, and agency records.",,,
1200,Structural gap,Medium,,,,557,,Compiler audit,OCR-derived leads are not document-level certainty,Compiler gap audit,,,,,,"Withdrawal-sheet rows and page OCR identify likely documents but can contain OCR noise, truncated titles, and page-start uncertainty.",Confirm page images and source folders before final document selection or citation.,,,
1200,Structural gap,Medium,,,,557,,Compiler audit,Partial releases require replacement or annotation checks,Compiler gap audit,,,,,,"4 private record(s) are marked Partial: Argentina 1992-04-07; Bolivia 1990-05-08; Chile 1992-05-13; Colombia 1989-11-27.",Check whether less-redacted versions exist in parallel files or later releases.,,,
1905,Country coverage gap,Critical,Bolivia,95,4,47,,Country chapter audit,Bolivia coverage risk,Compiler gap audit,,,,,21,"Four or fewer released private records are in the country chapter.; 47 high-priority print leads exist against a thin private-record chapter.; 47 public statements contrast with sparse private records.; 1 private record(s) are partial releases.","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation.",,,
1905,Country coverage gap,Critical,Chile,95,3,32,,Country chapter audit,Chile coverage risk,Compiler gap audit,,,,,16,"Four or fewer released private records are in the country chapter.; 32 high-priority print leads exist against a thin private-record chapter.; 41 public statements contrast with sparse private records.; 1 private record(s) are partial releases.","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation.",,,
1910,Country coverage gap,Critical,Suriname,90,0,2,,Country chapter audit,Suriname coverage risk,Compiler gap audit,,,,,0,No released private memcon/telcon record is currently in the country chapter.,"Treat this chapter as unresolved until non-presidential, State, NSC country, or agency files are checked.",,,
1911,Country coverage gap,Critical,Paraguay,89,2,19,,Country chapter audit,Paraguay coverage risk,Compiler gap audit,,,,,5,"Only one or two released private records are in the country chapter.; 19 high-priority print leads may materially alter the chapter chronology.; 23 public statements contrast with sparse private records.","Prioritize adjacent NSC country files, State records, and withdrawal-sheet leads before treating the chapter as representative.; Build a public-private chronology and look for missing decision documents around statement dates.",,,
1913,Country coverage gap,Critical,Peru,87,4,29,,Country chapter audit,Peru coverage risk,Compiler gap audit,,,,,24,"Four or fewer released private records are in the country chapter.; 29 high-priority print leads exist against a thin private-record chapter.; 66 public statements contrast with sparse private records.","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.",,,
1914,Country coverage gap,Critical,Guyana,86,1,25,,Country chapter audit,Guyana coverage risk,Compiler gap audit,,,,,5,"Only one or two released private records are in the country chapter.; 25 high-priority print leads exist against a thin private-record chapter.; Private records come from a single source bucket.","Prioritize adjacent NSC country files, State records, and withdrawal-sheet leads before treating the chapter as representative.",,,
2032,Country coverage gap,High,Ecuador,68,3,11,,Country chapter audit,Ecuador coverage risk,Compiler gap audit,,,,,20,"Four or fewer released private records are in the country chapter.; 27 public statements contrast with sparse private records.; Private records come from a single source bucket.","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.",,,
2168,Country coverage gap,Medium,Uruguay,32,9,32,,Country chapter audit,Uruguay coverage risk,Compiler gap audit,,,,,41,"The private record set is modest and may miss issue-level policy development.; 32 high-priority print leads may materially alter the chapter chronology.",Cross-check major public statements and high-priority leads against the country chronology.,,,
2272,Country coverage gap,Monitor,Brazil,28,14,63,,Country chapter audit,Brazil coverage risk,Compiler gap audit,,,,,58,"63 high-priority print leads require triage.; 66 public statements indicate substantial public diplomacy or policy activity.","Maintain as lower-risk, but still check high-priority print leads before final compilation decisions.",,,
2274,Country coverage gap,Monitor,Argentina,26,31,87,,Country chapter audit,Argentina coverage risk,Compiler gap audit,,,,,116,"87 high-priority print leads require triage.; 1 private record(s) are partial releases.","Flag partial releases for possible replacement, re-review, or annotation.",,,
2274,Country coverage gap,Monitor,Colombia,26,24,96,,Country chapter audit,Colombia coverage risk,Compiler gap audit,,,,,110,"96 high-priority print leads require triage.; 1 private record(s) are partial releases.","Flag partial releases for possible replacement, re-review, or annotation.",,,
2282,Country coverage gap,Monitor,Venezuela,18,31,109,,Country chapter audit,Venezuela coverage risk,Compiler gap audit,,,,,143,109 high-priority print leads require triage.,"Maintain as lower-risk, but still check high-priority print leads before final compilation decisions.",,,
2905,Partial release,Medium,Bolivia,95,4,47,1990-05-08,Memcon,Memorandum of Conversation,Presidential Memcon Files,"Presidential Memcon Files; [Memorandum of Conversations (Memcons)-January 1990-June 1990]: May 1990",,,Partial,6,Partial release in verified private memcon/telcon chronology.,"Check for less-redacted copies in parallel files, later releases, or cited backup material before final selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1990-June 1990]: May 1990. Declassified; partial release: Partial.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-05-08--Zamora-2.pdf,https://catalog.archives.gov/id/428080687
2905,Partial release,Medium,Chile,95,3,32,1992-05-13,Memcon,Memorandum of Conversation,Presidential Memcon Files,"Presidential Memcon Files; [Memorandum of Conversations (Memcons)-January 1992-June 1992]: May 1992",,,Partial,7,Partial release in verified private memcon/telcon chronology.,"Check for less-redacted copies in parallel files, later releases, or cited backup material before final selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1992-June 1992]: May 1992. Declassified; partial release: Partial.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-05-13--Azocar.pdf,https://catalog.archives.gov/id/428082199
3274,Partial release,Medium,Argentina,26,31,87,1992-04-07,Telcon,Memorandum of Telephone Conversation,Presidential Telcon Files,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - January 1992-June 1992]: April 1992",,,Partial,3,Partial release in verified private memcon/telcon chronology.,"Check for less-redacted copies in parallel files, later releases, or cited backup material before final selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1992-June 1992]: April 1992. Declassified; partial release: Partial.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-04-07--Menem.pdf,https://catalog.archives.gov/id/428082165
3274,Partial release,Medium,Colombia,26,24,96,1989-11-27,Telcon,Memorandum of Telephone Conversation,Presidential Telcon Files,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989",,,Partial,5,Partial release in verified private memcon/telcon chronology.,"Check for less-redacted copies in parallel files, later releases, or cited backup material before final selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989. Declassified; partial release: Partial.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-27--Barco.pdf,https://catalog.archives.gov/id/428080357
3905,High-priority print candidate,Critical,"Argentina; Bolivia",95,4,47,"March 27, 1989",Memorandum,Neil Bush Trip to Argentina,Latin American Directorate Chronological Files,"March 17, 1989-March 31, 1989 [2]",High,72,Restricted - Possibly,35,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-015, March 17, 1989-March 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-015.pdf,https://catalog.archives.gov/id/470766416
3905,High-priority print candidate,Critical,"Argentina; Bolivia",95,4,47,"March 27, 1989",Memorandum,Neil Bush Trip to Argentina,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]",High,72,Restricted - Possibly,52,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481
