work_order,priority,workstream,country,issue,date_or_span,title_or_scope,evidence_count,private_record_count,high_priority_print_leads,public_statement_count,source_or_folder,related_export,related_rank_or_id,recommended_action,why_it_matters,first_link,supporting_links
1,Critical,Structural audit,,,,Print-candidate backlog is much larger than the verified private corpus,557,,,,,compiler-review-queue.csv,Print-candidate backlog is much larger than the verified private corpus,Triage high-priority leads by country and theme before treating the memcon/telcon chapters as complete.,"935 OCR-derived print leads, including 557 high-priority leads, are not yet selected, transcribed, or compared against the country chronologies.",,
2,Critical,Country coverage,Bolivia,,,Bolivia chapter coverage,4,4,47,,,"coverage-matrix.csv; country-dossiers.csv; compiler-review-queue.csv",Bolivia,"Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton. Build a public-private chronology and look for missing decision documents around statement dates. Flag partial releases for possible replacement, re-review, or annotation.",Four or fewer released private records are in the country chapter. 47 high-priority print leads exist against a thin private-record chapter. 47 public statements contrast with sparse private records. 1 private record(s) are partial releases.,,
3,Critical,Country coverage,Chile,,,Chile chapter coverage,4,3,32,,,"coverage-matrix.csv; country-dossiers.csv; compiler-review-queue.csv",Chile,"Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton. Build a public-private chronology and look for missing decision documents around statement dates. Flag partial releases for possible replacement, re-review, or annotation.",Four or fewer released private records are in the country chapter. 32 high-priority print leads exist against a thin private-record chapter. 41 public statements contrast with sparse private records. 1 private record(s) are partial releases.,,
4,Critical,Country coverage,Suriname,,,Suriname chapter coverage,1,0,2,,,"coverage-matrix.csv; country-dossiers.csv; compiler-review-queue.csv",Suriname,"Treat this chapter as unresolved until non-presidential, State, NSC country, or agency files are checked.",No released private memcon/telcon record is currently in the country chapter.,,
5,Critical,Country coverage,Paraguay,,,Paraguay chapter coverage,3,2,19,,,"coverage-matrix.csv; country-dossiers.csv; compiler-review-queue.csv",Paraguay,"Prioritize adjacent NSC country files, State records, and withdrawal-sheet leads before treating the chapter as representative. Build a public-private chronology and look for missing decision documents around statement dates.",Only one or two released private records are in the country chapter. 19 high-priority print leads may materially alter the chapter chronology. 23 public statements contrast with sparse private records.,,
6,Critical,Country coverage,Peru,,,Peru chapter coverage,3,4,29,,,"coverage-matrix.csv; country-dossiers.csv; compiler-review-queue.csv",Peru,Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton. Build a public-private chronology and look for missing decision documents around statement dates.,Four or fewer released private records are in the country chapter. 29 high-priority print leads exist against a thin private-record chapter. 66 public statements contrast with sparse private records.,,
7,Critical,Country coverage,Guyana,,,Guyana chapter coverage,3,1,25,,,"coverage-matrix.csv; country-dossiers.csv; compiler-review-queue.csv",Guyana,"Prioritize adjacent NSC country files, State records, and withdrawal-sheet leads before treating the chapter as representative.",Only one or two released private records are in the country chapter. 25 high-priority print leads exist against a thin private-record chapter. Private records come from a single source bucket.,,
8,Critical,Issue dossier,Venezuela,Presidential diplomacy and head-of-state contacts,1987-08-18 to 1992-11-27,Presidential diplomacy and head-of-state contacts - Venezuela,374,31,109,42,"12789-009; 12789-010; 12791-022","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",1,Compare print leads against verified private records before deciding whether the issue needs additional printed documents or annotation.,"109 high-priority print leads; 31 verified private records",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_24_89-12789-009_415889606.pdf,"documents/venezuela/1992-04-09-bush-carlos-andres-perez-telcon-91113-003-p61-scowcroft.pdf; documents/venezuela/1992-11-27-bush-carlos-andres-perez-telcon-91110-002-p65-scowcroft.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_24_89-12789-009_415889606.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_24_89-12789-010_415889607.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_27_89-12791-022_415889675.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_02_89-12791-028_415889681.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-029_415889682.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-030_415889683.pdf"
9,Critical,Issue dossier,Colombia,Presidential diplomacy and head-of-state contacts,1989-03-03 to 1992-12-10,Presidential diplomacy and head-of-state contacts - Colombia,371,24,92,61,"12791-029; 12791-030; 12792-005","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",2,Compare print leads against verified private records before deciding whether the issue needs additional printed documents or annotation.,"92 high-priority print leads; 24 verified private records",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-029_415889682.pdf,"documents/colombia/1989-05-31-bush-virgilio-barco-telcon-91111-002-p38-scowcroft.pdf; documents/colombia/1990-07-13-bush-virgilio-barco-memcon-91108-001-p73-scowcroft.pdf; documents/colombia/1990-09-29-bush-cesar-gaviria-memcon-91108-002-p27-scowcroft.pdf; documents/colombia/1990-11-23-bush-cesar-gaviria-telcon-91112-003-p63-scowcroft.pdf; documents/colombia/1991-02-26-bush-cesar-gaviria-memcon-91108-004-p33-scowcroft.pdf; documents/colombia/1991-06-20-bush-cesar-gaviria-telcon-91112-008-p74-scowcroft.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-029_415889682.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-030_415889683.pdf"
10,Critical,Issue dossier,Argentina,Presidential diplomacy and head-of-state contacts,1989-01-23 to 1993-01-19,Presidential diplomacy and head-of-state contacts - Argentina,307,31,85,33,"12789-007; 12789-008; 12796-019","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",3,Compare print leads against verified private records before deciding whether the issue needs additional printed documents or annotation.,"85 high-priority print leads; 31 verified private records",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_23_89-12789-007_415889604.pdf,"documents/argentina/1989-09-27-bush-carlos-saul-menem-memcon-91107-005-p100-scowcroft.pdf; documents/argentina/1990-03-01-bush-carlos-saul-menem-telcon-91111-005-p88-scowcroft.pdf; documents/argentina/1990-06-28-bush-carlos-saul-menem-telcon-91111-007-p20-scowcroft.pdf; documents/argentina/1990-12-05-bush-carlos-saul-menem-memcon-91108-003-p112-scowcroft.pdf; documents/argentina/1991-01-14-bush-carlos-saul-menem-telcon-91112-004-p45-scowcroft.pdf; documents/argentina/1991-01-19-bush-carlos-saul-menem-telcon-91112-004-p71-scowcroft.pdf; documents/argentina/1991-02-08-bush-carlos-saul-menem-telcon-91112-005-p49-scowcroft.pdf; documents/argentina/1991-03-04-bush-carlos-saul-menem-telcon-91112-006-p76-scowcroft.pdf"
