chapter_number,country,risk_level,risk_score,private_record_count,private_page_count,private_date_span,private_years_covered,private_years_missing,partial_private_records,private_source_mix,print_candidate_count,high_priority_print_candidates,print_source_mix,public_statement_count,daily_diary_reference_count,linked_daily_diary_references,top_private_topics,top_print_themes,first_private_record,latest_private_record,highest_priority_print_leads,risk_signals,recommended_actions
1,Argentina,Monitor,26,31,116,1989-01-23 to 1992-12-01,"1989; 1990; 1991; 1992",,1,"Presidential Telcon Files: 14; Scowcroft extract: 12; Presidential Memcon Files: 5",138,87,"Latin American Affairs Directorate Subject Files: 74; Latin American Directorate Chronological Files: 63; Timothy E. Deal Subject Files: 1",47,114,46,"Argentina: 31; Latin America: 31; South America: 31; Bush Library Memcons and Telcons: 19; Telcon: 14; Brent Scowcroft Papers: 12; Head-of-state memcons and telcons: 12; Memcon: 5","presidential diplomacy: 120; debt and economy: 38; democracy: 31; regional policy: 11; panama spillover: 6; Latin America: 2; narcotics: 2; business groups: 1",Memorandum of Telephone Conversation,Memorandum of a Telephone Conversation,"December 6, 1990 - Uruguay Round Report; Hagin Referral; Panama -- Recommendation that President Bush Telephone; April 27, 1989 - Your Meeting with Rodolfo Terragano and Felix; April 5, 1989 - Lette rom Laurence W. Levine Regarding Argentine; February 13, 1989 - Letter to President Alfonsin of Argentina; February 9, 1989 - Letter from President Alfonsin Requesting; February 9, 1989 - Letter from President Alfonsin Requesting","87 high-priority print leads require triage.; 1 private record(s) are partial releases.","Flag partial releases for possible replacement, re-review, or annotation."
2,Bolivia,Critical,95,4,21,1989-07-07 to 1990-05-08,"1989; 1990","1991; 1992",1,"Presidential Memcon Files: 2; Presidential Telcon Files: 1; Scowcroft extract: 1",79,47,"Latin American Affairs Directorate Subject Files: 42; Latin American Directorate Chronological Files: 37",47,50,14,"Bolivia: 4; Latin America: 4; South America: 4; Bush Library Memcons and Telcons: 3; Memcon: 2; Brent Scowcroft Papers: 1; Head-of-state memcons and telcons: 1; Telcon: 1","presidential diplomacy: 69; narcotics: 23; debt and economy: 17; democracy: 15; regional policy: 13; drug: 8; panama spillover: 7; Andean: 6",Memorandum of Telephone Conversation,Memorandum of Conversation,"ABOVE AND THE TALKING POINTS IN PARAS 4-114 AMBASSADOR IS REQUESTED TO. SEEK A MEETING WITH PRESIDENT BARCO AT THE EARLIEST OPPORTUNITY TO SHARE OUR VIEWS OF WHAT THE SUMMIT IS; Andean Drug Summit 124 -; DRAWING ON THE SUMMIT TALKING POINTS Paras I-le, THE AMBASSADOR Is REQUESTED To seex A MEETING BITH PRESIDENT PAZ ZAMORA AT THE CARLIEST OPPORTUNITY To DELIVER THE; Recommendation for the Vice President's Travel to; Recommendation for the Vice President's Travel to; Recommendation for the Vice President's Travel to; December 18, 1989 - Appointment Request with the President; December 4, 1989 - Report by Bruce Gelb on His Trip to the Andean","Four or fewer released private records are in the country chapter.; 47 high-priority print leads exist against a thin private-record chapter.; 47 public statements contrast with sparse private records.; 1 private record(s) are partial releases.","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation."
3,Brazil,Monitor,28,14,58,1989-02-25 to 1992-07-10,"1989; 1990; 1991; 1992",,0,"Presidential Memcon Files: 7; Presidential Telcon Files: 6; Scowcroft extract: 1",115,63,"Latin American Affairs Directorate Subject Files: 70; Latin American Directorate Chronological Files: 41; Timothy E. Deal Subject Files: 4",66,111,34,"Brazil: 14; Latin America: 14; South America: 14; Bush Library Memcons and Telcons: 11; Memcon: 7; Telcon: 6; Presidential Memcon Files: 2; Brent Scowcroft Papers: 1","presidential diplomacy: 82; democracy: 18; regional policy: 18; debt and economy: 15; panama spillover: 14; summit diplomacy: 3; environment: 2; drug: 1",Memorandum of Conversation,Memorandum of Telephone Conversation,"December 6, 1990 - Uruguay Round Report; Background for Your Meeting with President Sarney; CONGRATULATORY CALL TO BRAZILIAN PRESIDENT-ELECT FERNANDO COLLOR DE MELLO; Letter to President Sarney of Brazil; Phone Calls on Panama; TALKING POINTS FOR TELEPHONE CALL TO GENERAL SCOWCROFT -- We recognize that Sarney is a weak president and a lame duck. However, the issue is the signal we send Brazil with a; TALKING POINTS WITH PRESIDENT SARNEY ° I truly appreciated your June 5 letter on Panama. You are; February 10, 1989 - Presidential Letter to Brazilian President Sarney","63 high-priority print leads require triage.; 66 public statements indicate substantial public diplomacy or policy activity.","Maintain as lower-risk, but still check high-priority print leads before final compilation decisions."
4,Chile,Critical,95,3,16,1990-03-30 to 1992-05-13,"1990; 1992","1989; 1991",1,"Presidential Memcon Files: 2; Presidential Telcon Files: 1",48,32,"Latin American Directorate Chronological Files: 26; Latin American Affairs Directorate Subject Files: 22",41,48,14,"Bush Library Memcons and Telcons: 3; Chile: 3; Latin America: 3; South America: 3; Memcon: 2; Telcon: 1","presidential diplomacy: 38; democracy: 18; debt and economy: 8; regional policy: 2; ussr/cuba: 2; panama spillover: 1",Memorandum of Telephone Conversation,Memorandum of Conversation,"TALKING POINTS FOR PRESIDENT IN PUBLIC PORTION OF MEETING WITH JACEK KURON AND MONICA JIMENEZ DE BARROS -- It is an honor to welcome to the White House today two; August 18, 1989 - Request That You Meet with the Chilean Chief of; August 18, 1989 - Request That You Meet with the Chilean Chief of; March 3, 1989 - Guidance for Ambassador Gillespie (U); March 6, 1989 - Guidance for Ambassador Gillespie (U); May 3, 1989 - Request by Ambassador Gillespie for Meeting With; May 3, 1989 - Request by Ambassador Gillespie for Meeting With; TALKING POINTS FOR THE PRESIDENT'S INAUGURATION OF THE PRESIDENTIAL ELECTION MONITORING COMMISSION","Four or fewer released private records are in the country chapter.; 32 high-priority print leads exist against a thin private-record chapter.; 41 public statements contrast with sparse private records.; 1 private record(s) are partial releases.","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation."
5,Colombia,Monitor,26,24,110,1989-03-08 to 1991-06-20,"1989; 1990; 1991",1992,1,"Presidential Telcon Files: 14; Scowcroft extract: 6; Presidential Memcon Files: 4",168,96,"Latin American Affairs Directorate Subject Files: 105; Latin American Directorate Chronological Files: 63",87,131,50,"Colombia: 24; Latin America: 24; South America: 24; Bush Library Memcons and Telcons: 18; Telcon: 13; Brent Scowcroft Papers: 6; Head-of-state memcons and telcons: 6; Memcon: 5","presidential diplomacy: 155; narcotics: 61; democracy: 14; drug: 12; regional policy: 12; Andean: 10; debt and economy: 10; panama spillover: 6",Memorandum of Telephone Conversation,Memorandum of a Telephone Conversation,"ABOVE AND THE TALKING POINTS IN PARAS 4-114 AMBASSADOR IS REQUESTED TO. SEEK A MEETING WITH PRESIDENT BARCO AT THE EARLIEST OPPORTUNITY TO SHARE OUR VIEWS OF WHAT THE SUMMIT IS; Andean Drug Summit 124 -; Andean Trade Initiative; DRAWING ON THE SUMMIT TALKING POINTS Paras I-le, THE AMBASSADOR Is REQUESTED To seex A MEETING BITH PRESIDENT PAZ ZAMORA AT THE CARLIEST OPPORTUNITY To DELIVER THE; From Philip Hughes to; Proposed Presidential Talking Points on Increased G-7 Efforts to Stem Narcotics Trafficking Brian Mulroney recently visited me in Kennebunkport, where; TALKING POINTS ee: | |; TALKING POINTS FOR GENERAL SCOWCROFT’S MEETING WITH THE CABINET Background","96 high-priority print leads require triage.; 1 private record(s) are partial releases.","Flag partial releases for possible replacement, re-review, or annotation."
6,Ecuador,High,68,3,20,1990-07-23 to 1992-07-28,"1990; 1992","1989; 1991",0,Presidential Memcon Files: 3,33,11,"Latin American Affairs Directorate Subject Files: 25; Latin American Directorate Chronological Files: 8",27,51,7,"Bush Library Memcons and Telcons: 3; Ecuador: 3; Latin America: 3; Memcon: 3; South America: 3","presidential diplomacy: 31; narcotics: 3; drug: 1; regional policy: 1",Memorandum of Conversation,Memorandum of Conversation,"October 30, 1989 - Telephone Conversation with President Barco; Certifications for Narcotics Source and Transit; Request by Mrs. Borja for Meeting with Mrs. Bush; February 8, 1989 - Memorandum of Conversation Between the President; February 8, 1989 - Memorandum of Conversation Between the President; June 15, 1989 - Response to Letter from Representative Newt; March 14, 1989 - Request by Mrs. Borja for Meeting with Mrs. Bush; March 16, 1989 - Request by Mrs. Borja for Meeting with Mrs. Bush","Four or fewer released private records are in the country chapter.; 27 public statements contrast with sparse private records.; Private records come from a single source bucket.","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates."
7,Guyana,Critical,86,1,5,1989-06-19 to 1989-06-19,1989,"1990; 1991; 1992",0,Presidential Memcon Files: 1,30,25,"Latin American Directorate Chronological Files: 19; Latin American Affairs Directorate Subject Files: 11",1,8,2,"Bush Library Memcons and Telcons: 1; Guyana: 1; Latin America: 1; Memcon: 1; South America: 1","presidential diplomacy: 24; debt and economy: 5; democracy: 3",Memorandum of Conversation,Memorandum of Conversation,"Appointment for Guyana Prime Minister Burnham; Appointment for Guyana Prime Minister Burnham; Informal Working Viait of Prime Minister Burnham of Guyana; Informal Working Visit of Prime Minister Burnham of Guyana; Photo Opportunity with the President for Guyanese; SUBJ: TALKING POINTS FOR POTENTIAL QUALE-HOYET MEETING 1. GONPEIDENEIAL-- ENTIRE TEXT. 2. PRESIDENT HUGH DESMOND HOYTE HAS ANNOUNCED HIS INTENSION; TALKING POINTS FOR THE PRESIDENT'S MEETING WITH HOYTE; TALKING POINTS FOR THE PRESIDENT'S MEETING WITH HOYTE","Only one or two released private records are in the country chapter.; 25 high-priority print leads exist against a thin private-record chapter.; Private records come from a single source bucket.","Prioritize adjacent NSC country files, State records, and withdrawal-sheet leads before treating the chapter as representative."
8,Paraguay,Critical,89,2,5,1990-06-15 to 1991-01-31,"1990; 1991","1989; 1992",0,"Presidential Memcon Files: 1; Presidential Telcon Files: 1",27,19,"Latin American Directorate Chronological Files: 16; Latin American Affairs Directorate Subject Files: 11",23,51,20,"Latin America: 2; Paraguay: 2; South America: 2; Bush Library Memcons and Telcons: 1; Memcon: 1; Presidential Memcon Files: 1; Telcon: 1","presidential diplomacy: 26; democracy: 5; regional policy: 5; Latin America: 2; narcotics: 1; panama spillover: 1; ussr/cuba: 1",Memorandum of Conversation,Memorandum of Telephone Conversation,"CONTINGENCY TALKING POINTS FOR USE WITH PRESIDENT ANDRES RODRIGUEZ OF PARAGUAY I enjoyed learning about Paraguay from you at the dinner; September 18, 1989 - Presidential Letter to Jamaican Prime Minister; U.S. Representation at the May 15 Inauguration of the; U.S. Representation at the May 15 Inauguration of the; May 9, 1989 - Request for Aircraft to Transport the U.S. Delegation; May 9, 1989 - Request for Aircraft to Transport the U.S. Delegation; Letter to the President from U.S. Families Facing; Reauest from Paraguayan President Rodriguez to Meet","Only one or two released private records are in the country chapter.; 19 high-priority print leads may materially alter the chapter chronology.; 23 public statements contrast with sparse private records.","Prioritize adjacent NSC country files, State records, and withdrawal-sheet leads before treating the chapter as representative.; Build a public-private chronology and look for missing decision documents around statement dates."
9,Peru,Critical,87,4,24,1989-05-13 to 1992-04-20,"1989; 1991; 1992",1990,0,"Presidential Memcon Files: 2; Presidential Telcon Files: 2",45,29,"Latin American Affairs Directorate Subject Files: 27; Latin American Directorate Chronological Files: 18",66,115,20,"Bush Library Memcons and Telcons: 4; Latin America: 4; Peru: 4; South America: 4; Memcon: 2; Telcon: 2","presidential diplomacy: 39; narcotics: 27; drug: 9; regional policy: 8; Andean: 6; panama spillover: 4; democracy: 3; debt and economy: 1",Memorandum of Telephone Conversation,Memorandum of Telephone Conversation,"ABOVE AND THE TALKING POINTS IN PARAS 4-114 AMBASSADOR IS REQUESTED TO. SEEK A MEETING WITH PRESIDENT BARCO AT THE EARLIEST OPPORTUNITY TO SHARE OUR VIEWS OF WHAT THE SUMMIT IS; Andean Drug Summit 124 -; Letters for Families of Victims Killed in Peru on; Panama -- Recommendation that President Bush Telephone; Points to Be Made in Possible Telephone Call from; Points to Be Made in Possible Telephone Call from; December 18, 1989 - Appointment Request with the President; December 27, 1989 - Andean Summit -- First Good News, Then Bad, Then Good","Four or fewer released private records are in the country chapter.; 29 high-priority print leads exist against a thin private-record chapter.; 66 public statements contrast with sparse private records.","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates."
10,Suriname,Critical,90,0,0,,,"1989; 1990; 1991; 1992",0,,5,2,"Latin American Directorate Chronological Files: 3; Latin American Affairs Directorate Subject Files: 2",4,15,1,,presidential diplomacy: 4,,,"Appointment of Willem A. Udenhout of the Republic; SECURITY COUNCIL ID 8910039 - To: SOURCE:",No released private memcon/telcon record is currently in the country chapter.,"Treat this chapter as unresolved until non-presidential, State, NSC country, or agency files are checked."
