date,catalog_date,source_type,title,countries,relationship,matched_terms,linked_memcon_telcon_titles,local_identifier,naid,empty_folder,access_restriction,source_note,pdf_url,catalog_url
1989-01-23,1/23/1989,Presidential Daily Backup,[Presidential Daily Backup] 1/23/1989,Argentina,Matched memcon/telcon date,"Alfonsin; Argentina; Argentine",Memorandum of Telephone Conversation,12789-008,415889605,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 1/23/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_23_89-12789-008_415889605.pdf,https://catalog.archives.gov/id/415889605
1989-01-23,1/23/1989,Presidential Daily Diary,[Presidential Daily Diary] 1/23/1989 [EMPTY],Argentina,Matched memcon/telcon date,,Memorandum of Telephone Conversation,12789-007,415889604,yes,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 1/23/1989 [EMPTY]. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_23_89-12789-007_415889604.pdf,https://catalog.archives.gov/id/415889604
1989-01-24,1/24/1989,Presidential Daily Backup,[Presidential Daily Backup] 1/24/1989,Venezuela,Matched memcon/telcon date,Venezuela,Memorandum of Telephone Conversation,12789-010,415889607,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 1/24/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_24_89-12789-010_415889607.pdf,https://catalog.archives.gov/id/415889607
1989-01-24,1/24/1989,Presidential Daily Diary,[Presidential Daily Diary] 1/24/1989,Venezuela,Matched memcon/telcon date,Venezuela,Memorandum of Telephone Conversation,12789-009,415889606,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 1/24/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_24_89-12789-009_415889606.pdf,https://catalog.archives.gov/id/415889606
1989-01-25,1/25/1989,Presidential Daily Backup,[Presidential Daily Backup] 1/25/1989,Uruguay,Catalog search lead,Uruguay,,12789-012,415889609,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 1/25/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_25_89-12789-012_415889609.pdf,https://catalog.archives.gov/id/415889609
1989-02-02,2/2/1989,Presidential Daily Backup,[Presidential Daily Backup] 2/2/1989,Ecuador,Catalog search lead,Ecuador,,12789-028,415889625,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 2/2/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_02_89-12789-028_415889625.pdf,https://catalog.archives.gov/id/415889625
1989-02-06,2/6/1989,Presidential Daily Backup,[Presidential Daily Backup] 2/6/1989,"Ecuador; Uruguay",Catalog search lead,"Ecuador; Uruguay",,12790-008,415889633,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 2/6/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_06_89-12790-008_415889633.pdf,https://catalog.archives.gov/id/415889633
1989-02-07,2/7/1989,Presidential Daily Backup,[Presidential Daily Backup] 2/7/1989,Ecuador,Catalog search lead,Ecuador,,12790-010,415889635,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 2/7/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_07_89-12790-010_415889635.pdf,https://catalog.archives.gov/id/415889635
1989-02-07,2/7/1989,Presidential Daily Diary,[Presidential Daily Diary] 2/7/1989,Ecuador,Catalog search lead,Ecuador,,12790-009,415889634,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 2/7/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_07_89-12790-009_415889634.pdf,https://catalog.archives.gov/id/415889634
1989-02-16,2/16/1989,Presidential Daily Backup,[Presidential Daily Backup] 2/16/1989,Chile,Catalog search lead,"Chilean; Pinochet",,12790-028,415889653,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 2/16/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_16_89-12790-028_415889653.pdf,https://catalog.archives.gov/id/415889653
