chapter_number,chapter_country,date,document_type,document_title,release_status,page_count,source_bucket,country_risk_level,country_risk_score,participants,frus_topics,same_date_diary_backup_count,same_date_diary_backup_titles,nearby_high_priority_print_lead_count,nearby_high_priority_print_leads,nearby_print_lead_count_14_days,nearby_public_statement_count_7_days,nearby_public_statements,context_review_note,source_note,pdf_url,catalog_url
1,Argentina,1989-01-23,Telcon,Memorandum of Telephone Conversation,Full,3,Presidential Telcon Files,Monitor,26,"George H. W. Bush; Raul Alfonsin","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 1/23/1989; [Presidential Daily Diary] 1/23/1989 [EMPTY]",2,"+1d January 24, 1989 - Memorandum of Conversation Between the President; +3d January 26, 1989 - Ambassadorial request to meet",5,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Alfonsin.pdf,https://catalog.archives.gov/id/428079775
1,Argentina,1989-05-13,Telcon,Memorandum of Telephone Conversation,Full,4,Presidential Telcon Files,Monitor,26,"George H. W. Bush; Raul Alfonsin","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 5/13/1989; [Presidential Daily Diary] 5/13/1989",9,"+1d May 14, 1989 - Letter to President Alfonsin of Argentina; +2d May 15, 1989 - Transmittal of the Memorandum of Conversation of; +3d May 16, 1989 - Memorandum of Conversation: President’s Telephone; +3d May 16, 1989 - Memorandum of Conversation: President’s Telephone; -5d May 8, 1989 - PCC Meeting on Argentina; +10d May 23, 1989 - Appointment request for Ambassador to Argentina; +10d May 23, 1989 - Appointment request for Ambassador to Argentina; -10d May 3, 1989 - PCC Meeting on Managing Issues and Relations:; -11d May 2, 1989 - PCC Meeting on Managing Issues and Relations:",18,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: May 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-05-13--Alfonsin.pdf,https://catalog.archives.gov/id/428080013
1,Argentina,1989-09-27,Memcon,Memorandum of Conversation,Declassified,7,Scowcroft extract,Monitor,26,"George H. W. Bush; Carlos Saul Menem","Latin America; South America; Argentina; Brent Scowcroft Papers; Head-of-state memcons and telcons",2,"[Presidential Daily Backup] 9/27/1989; [Presidential Daily Diary] 9/27/1989 [EMPTY]",13,"+0d September 27, 1989 - Meeting with President Carlos Menem of; +0d September 27, 1989 - Meeting with President Carlos Menem of; +0d September 27, 1989 - Memorandum of Conversation with President; -2d September 25, 1989 - Briefing Materials for the President's Meeting with; -2d September 25, 1989 - Briefing Materials for the President's Meeting with; -2d September 25, 1989 - Presidential Meeting with Argentine President; -2d September 25, 1989 - Presidential Meeting with Argentine President; -2d September 25, 1989 - Presidential Meéting with Argentine President; +2d September 29, 1989 - Scowcroft Meeting with Alberto Kohan, Chief of; -7d September 20, 1989 - Argentina's Failure to Provide Adequate Protection of",16,1,+0d 1989-09-27 - Statement by Press Secretary Fitzwater on President Bush's Meeting With President Carlos Saul Menem of Argentina,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Memcons Files, OA/ID 91107-005, Presidential Meetings - Memorandum of Conversations 7/14/89 - 10/2/89. Declassified.",documents/argentina/1989-09-27-bush-carlos-saul-menem-memcon-91107-005-p100-scowcroft.pdf,https://catalog.archives.gov/id/366551664
1,Argentina,1989-09-27,Memcon,Memorandum of Conversation,Full,8,Presidential Memcon Files,Monitor,26,"George H. W. Bush; Carlos Menem","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Memcon",2,"[Presidential Daily Backup] 9/27/1989; [Presidential Daily Diary] 9/27/1989 [EMPTY]",13,"+0d September 27, 1989 - Meeting with President Carlos Menem of; +0d September 27, 1989 - Meeting with President Carlos Menem of; +0d September 27, 1989 - Memorandum of Conversation with President; -2d September 25, 1989 - Briefing Materials for the President's Meeting with; -2d September 25, 1989 - Briefing Materials for the President's Meeting with; -2d September 25, 1989 - Presidential Meeting with Argentine President; -2d September 25, 1989 - Presidential Meeting with Argentine President; -2d September 25, 1989 - Presidential Meéting with Argentine President; +2d September 29, 1989 - Scowcroft Meeting with Alberto Kohan, Chief of; -7d September 20, 1989 - Argentina's Failure to Provide Adequate Protection of",16,1,+0d 1989-09-27 - Statement by Press Secretary Fitzwater on President Bush's Meeting With President Carlos Saul Menem of Argentina,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: September 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-09-27--Menem.pdf,https://catalog.archives.gov/id/428080237
1,Argentina,1989-12-20,Telcon,Memorandum of Telephone Conversation,Full,4,Presidential Telcon Files,Monitor,26,"George H. W. Bush; Carlos Menem","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 12/20/1989; [Presidential Daily Diary] 12/20/1989 [EMPTY]",4,"+0d December 20, 1989 - Telephone Conversation with President Menem; +1d December 21, 1989 - Memorandum of Telephone Conversation with; -5d December 15, 1989 - Meeting with Argentine Ambassador Guido di Tella,; -5d December 15, 1989 - Meeting with Argentine Ambassador Guido di Tella,",7,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-12-20--Menem.pdf,https://catalog.archives.gov/id/428080455
1,Argentina,1990-03-01,Telcon,Memorandum of a Telephone Conversation,Declassified,3,Scowcroft extract,Monitor,26,"George H. W. Bush; Carlos Saul Menem","Latin America; South America; Argentina; Brent Scowcroft Papers; Head-of-state memcons and telcons",2,"[Presidential Daily Backup] 3/1/1990; [Presidential Daily Diary] 3/1/1990",0,,0,1,+4d 1990-03-05 - Statement on the Economic Situation in Argentina,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telcon Files, OA/ID 91111-005, Presidential Telephone Calls - Memorandum of Conversations 1/1/90 - 3/15/90. Declassified.",documents/argentina/1990-03-01-bush-carlos-saul-menem-telcon-91111-005-p88-scowcroft.pdf,https://catalog.archives.gov/id/366551690
1,Argentina,1990-03-01,Telcon,Memorandum of Telephone Conversation,Full,4,Presidential Telcon Files,Monitor,26,"George H. W. Bush; Carlos Menem","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 3/1/1990; [Presidential Daily Diary] 3/1/1990",0,,0,1,+4d 1990-03-05 - Statement on the Economic Situation in Argentina,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: March 1990. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-03-01--Menem.pdf,https://catalog.archives.gov/id/428080601
1,Argentina,1990-06-28,Telcon,Memorandum of a Telephone Conversation,Declassified,4,Scowcroft extract,Monitor,26,"George H. W. Bush; Carlos Saul Menem","Latin America; South America; Argentina; Brent Scowcroft Papers; Head-of-state memcons and telcons",2,"[Presidential Daily Backup] 6/28/1990; [Presidential Daily Diary] 6/28/1990",0,,0,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telcon Files, OA/ID 91111-007, Presidential Telephone Calls - Memorandum of Conversations 6/23/90 - 7/31/90. Declassified.",documents/argentina/1990-06-28-bush-carlos-saul-menem-telcon-91111-007-p20-scowcroft.pdf,https://catalog.archives.gov/id/366551692
1,Argentina,1990-06-28,Telcon,Memorandum of Telephone Conversation,Full,3,Presidential Telcon Files,Monitor,26,"George H. W. Bush; Carlos Menem","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 6/28/1990; [Presidential Daily Diary] 6/28/1990",0,,0,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: June 1990. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-06-28--Menem.pdf,https://catalog.archives.gov/id/428080817
1,Argentina,1990-10-01,Memcon,Memorandum of Conversation,Full,6,Presidential Memcon Files,Monitor,26,"George H. W. Bush; Carlos Menem","Latin America; South America; Argentina; Bush Library Memcons and Telcons; Memcon",2,"[Presidential Daily Backup] 10/01/1990; [Presidential Daily Diary] 10/01/1990",0,,0,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-10-01--Menem.pdf,https://catalog.archives.gov/id/428081105
