sort_date,display_date,volume_date_scope,countries,primary_chapter_country,record_class,document_type,title,subject_or_context,priority_or_status,score,page_count_or_range,source_collection,source_series,source_folder_or_title,local_identifier,naid_or_folder_naid,source_note,provenance_note,review_note,pdf_url,catalog_or_details_url,page_link,record_id
1987-08-18,08/18/87,Pre-Bush/background,Venezuela,Venezuela,Print-candidate lead,Report,Government report.,"presidential diplomacy; identified on withdrawal sheet",Medium,45,14,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,[Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose],CF00193-022,470766537,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-022, [Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf,https://catalog.archives.gov/id/470766537,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf#page=14,subject-print-470766537-14-08
1988-11-01,11/01/1988,Pre-Bush/background,Brazil,Brazil,Print-candidate lead,Memorandum,To Tyrus W. Cobb,"memorandum form; identified on withdrawal sheet",Reference,40,3,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [2]",CF00189-014,470766487,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=3,subject-print-470766487-3-04k
1988-11-04,11/04/1988,Pre-Bush/background,Brazil,Brazil,Print-candidate lead,Memorandum,From Carlton Thorne to Mr. Rosenthal,"memorandum form; identified on withdrawal sheet",Reference,40,4,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [2]",CF00189-014,470766487,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=4,subject-print-470766487-4-04p
1988-11-09,11/09/1988,Pre-Bush/background,Brazil,Brazil,Print-candidate lead,Memorandum,From Richard T. Kennedy to Allen Wendt,"memorandum form; identified on withdrawal sheet",Reference,40,3,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [2]",CF00189-014,470766487,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=3,subject-print-470766487-3-04n
1988-11-22,11/22/1988,Pre-Bush/background,Brazil,Brazil,Print-candidate lead,Memorandum,For Super Computer Working Group,"memorandum form; identified on withdrawal sheet",Reference,40,3,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [2]",CF00189-014,470766487,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=3,subject-print-470766487-3-04m
1988-11-22,11/22/1988,Pre-Bush/background,Brazil,Brazil,Print-candidate lead,Memorandum,For Super Computer Working Group Re: Sale,"memorandum form; identified on withdrawal sheet",Reference,40,41,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [2]",CF00189-014,470766487,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=41,subject-print-470766487-41-04m
1989-01-23,1/23/1989,Volume date range,Argentina,Argentina,Daily diary/backup reference,Presidential Daily Backup,[Presidential Daily Backup] 1/23/1989,Matched memcon/telcon date,Restricted - Possibly,,,White House Office of Appointments and Scheduling Files,Presidential Daily Diary and Presidential Daily Backup Materials,[Presidential Daily Backup] 1/23/1989,12789-008,415889605,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 1/23/1989. Access restriction: Restricted - Possibly.",,"Schedule/supporting-materials evidence; use to confirm timing, calls, meetings, and backup packets.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_23_89-12789-008_415889605.pdf,https://catalog.archives.gov/id/415889605,,daily-diary-415889605
1989-01-23,1/23/1989,Volume date range,Argentina,Argentina,Daily diary/backup reference,Presidential Daily Diary,[Presidential Daily Diary] 1/23/1989 [EMPTY],Matched memcon/telcon date,Empty folder,,,White House Office of Appointments and Scheduling Files,Presidential Daily Diary and Presidential Daily Backup Materials,[Presidential Daily Diary] 1/23/1989 [EMPTY],12789-007,415889604,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 1/23/1989 [EMPTY]. Access restriction: Restricted - Possibly.",,"Schedule/supporting-materials evidence; use to confirm timing, calls, meetings, and backup packets.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_23_89-12789-007_415889604.pdf,https://catalog.archives.gov/id/415889604,,daily-diary-415889604
1989-01-23,1989-01-23,Volume date range,Argentina,Argentina,Declassified memcon/telcon,Telcon,Memorandum of Telephone Conversation,"Telephone Call from the President to President Alfonsin of Argentina, January 23, 1989",Full,,3,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989",[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,428079775,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 1/23/1989; Type Telcon; Participants Alfonsin, Raul; Country Argentina; Release Status Full; NAID 428079775. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Telephone Call from the President to President Alfonsin of Argentina, January 23, 1989, NAID 428079775. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989, NAID 322361434. Digital object: 1989-01-23--Alfonsin.pdf, object ID 428079776, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Alfonsin.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551686, 91111-001, source pages 12-13.","Verified declassified private record; compare with same-date diary/backup and nearby print leads before final selection.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Alfonsin.pdf,https://catalog.archives.gov/id/428079775,,bush-library-428079775
1989-01-23,"January 23, 1989",Volume date range,Argentina,Argentina,Print-candidate lead,Memorandum of Conversation,enone elf Conversation Between the President,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",Medium,60,9,George H.W. Bush Library,Latin American Directorate Chronological Files,"January 20, 1989-February 1, 1989 [2]",CF00300-004,470766405,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-004, January 20, 1989-February 1, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf,https://catalog.archives.gov/id/470766405,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf#page=9,chronological-print-470766405-9-memorandum-of-conversation
