person_name,description,included_reasons,authority_name_collision_count,authority_name_collisions,match_caution,has_site_evidence,site_evidence_total,verified_participant_record_count,print_candidate_mention_count,public_statement_mention_count,daily_diary_reference_mention_count,countries,first_verified_record_date,latest_verified_record_date,verified_record_titles,print_candidate_mentions,public_statement_mentions,daily_diary_reference_mentions,name_variants_used,source_entry,person_id
"Acosta, Luis E.","Economic and Commercial Counselor, U.S. Embassy in Asuncion [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"acosta luis e; luis acosta; luis e acosta","Acosta, Luis E., Economic and Commercial Counselor, U.S. Embassy in Asuncion [1992]",acosta-luis-e
"Ades, Richard R.","Commercial Counselor, U.S. Embassy in Santiago [1989]; Commercial Counselor, U.S. Consulate at Sao Paulo [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"ades richard r; richard ades; richard r ades","Ades, Richard R., Commercial Counselor, U.S. Embassy in Santiago [1989]; Commercial Counselor, U.S. Consulate at Sao Paulo [1992]",ades-richard-r
"Alfonsin, Raul","President of Argentina until July 8, 1989","South America country or capital in name authority entry; Name appears in site record metadata or OCR candidate text",0,,,yes,8,2,6,0,0,Argentina,1989-01-23,1989-05-13,"1989-01-23 - Telcon - Telephone Call from the President to President Alfonsin of Argentina, January 23, 1989; 1989-05-13 - Telcon - The President's Telephone Conversation with Argentine President Raul Alfonsin, May 13, 1989","January 23, 1989 - Medium - Telephone Call from the President to; May 13, 1989 - Medium - The President’s Telephone Conversation with; May 13, 1989 - Medium - The President’s Telephone Conversation with; May 16, 1989 - High - Memorandum of Conversation: President’s Telephone; May 16, 1989 - High - Memorandum of Conversation: President’s Telephone; Medium - Telephone Call from the President to",,,"alfonsin raul; raul alfonsin","Alfonsin, Raul, President of Argentina until July 8, 1989",alfonsin-raul
"Alois, Peter B.","Commercial Counselor, U.S. Embassy in Quito [1989, 1990]; Commercial Counselor, U.S. Consulate at Milan [1990-1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"alois peter b; peter alois; peter b alois","Alois, Peter B., Commercial Counselor, U.S. Embassy in Quito [1989, 1990]; Commercial Counselor, U.S. Consulate at Milan [1990-1992]",alois-peter-b
"Ames, Marjorie Ann","Consul, U.S. Embassy in Paramaribo [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"ames marjorie ann; marjorie ames; marjorie ann ames","Ames, Marjorie Ann, Consul, U.S. Embassy in Paramaribo [1992]",ames-marjorie-ann
"Amselem, W. Lewis","Political Counselor, U.S. Embassy in La Paz [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"amselem w lewis; w amselem; w lewis amselem","Amselem, W. Lewis, Political Counselor, U.S. Embassy in La Paz [1992]",amselem-w-lewis
"Anderson, Edward E.","Administrative Counselor, U.S. Embassy in Georgetown [1989, 1990]; Administrative and Management Information Services Division, Office of Resource Management, Office of the Deputy Assistant Secretary for Resource Management, Bureau of Diplomatic Security [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"anderson edward e; edward anderson; edward e anderson","Anderson, Edward E., Administrative Counselor, U.S. Embassy in Georgetown [1989, 1990]; Administrative and Management Information Services Division, Office of Resource Management, Office of the Deputy Assistant Secretary for Resource Management, Bureau of Diplomatic Security [1992]",anderson-edward-e
"Andrews, Theodore H.","Political Counselor, U.S. Embassy in Paramaribo [1989-1991]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"andrews theodore h; theodore andrews; theodore h andrews","Andrews, Theodore H., Political Counselor, U.S. Embassy in Paramaribo [1989-1991]",andrews-theodore-h
"Arias, Tony","Regional Officer, Eastern Europe and South America, Office of Bilateral Affairs, Bureau of Human Rights and Humanitarian Affairs, Department of State [1990, 1991]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"arias tony; tony arias","Arias, Tony, Regional Officer, Eastern Europe and South America, Office of Bilateral Affairs, Bureau of Human Rights and Humanitarian Affairs, Department of State [1990, 1991]",arias-tony
"Aronson, Bernard W.","Assistant Secretary of State for Inter-American Affairs from June 16, 1989","Senior regional-policy role; Name appears in site record metadata or OCR candidate text",0,,,yes,11,0,11,0,0,"Argentina; Venezuela",,,,"April 1, 1989 - High - Meeting with President Carlos Andres Perez of; April 1, 1989 - High - Meeting with President Carlos Andres Perez of; April 1, 1989 - High - Meeting with President Carlos Perez of; April 1, 1989 - High - Meeting with President Carlos Perez of; September 25, 1989 - High - Meeting with Venezuelan President Carlos; September 25, 1989 - High - Meeting with Venezuelan President Carlos; December 22, 1989 - Medium - Transmittal of Memorandum of Conversation of the; High - Re: PCC Conclusions To: Policy Coordinating Committee From:; High - To: PCC From:; High - To: PCC From:; High - To: Policy Coordinating Committee From:",,,"aronson bernard w; bernard aronson; bernard w aronson","Aronson, Bernard W., Assistant Secretary of State for Inter-American Affairs from June 16, 1989",aronson-bernard-w
"Austin, Robert J.","Commercial and Economic Counselor, U.S. Embassy in Paramaribo [1989]; Administrative Counselor, U.S. Embassy in Brasilia [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"austin robert j; robert austin; robert j austin","Austin, Robert J., Commercial and Economic Counselor, U.S. Embassy in Paramaribo [1989]; Administrative Counselor, U.S. Embassy in Brasilia [1992]",austin-robert-j
"Aylwin, Patricio","President of Chile from March 11, 1990","South America country or capital in name authority entry; Name appears in site record metadata or OCR candidate text",0,,,yes,8,3,1,4,0,"Chile; Colombia; Peru; Venezuela",1990-03-30,1992-05-13,"1990-03-30 - Telcon - PRESIDENT BUSH'S TELEPHONE CALL TO PRESIDENT AYLWIN, March 30, 1990; 1990-10-02 - Memcon - Memorandum of Conversation with President Patricio Aylwin of Chile, October 2, 1990; 1992-05-13 - Memcon - Meeting with Patricio Aylwin Azocar, President of the Republic of Chile, May 13, 1992","January 6, 1990 - Medium - Presidential Delegation to the Chilean Presidential","1990-10-02 - Statement by Press Secretary Fitzwater on President Bush's Meeting With President Patricio Aylwin Azocar of Chile; 1992-05-13 - Remarks at the Arrival Ceremony for President Patricio Aylwin of Chile; 1992-05-13 - Remarks at the State Dinner for President Patricio Aylwin of Chile; 1992-05-13 - Statement by Press Secretary Fitzwater on the President's Meeting With President Patricio Aylwin of Chile",,"aylwin patricio; patricio aylwin","Aylwin, Patricio, President of Chile from March 11, 1990",aylwin-patricio
"Baca, John R.","Administrative Counselor, U.S. Embassy in Montevideo [1991, 1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"baca john r; john baca; john r baca","Baca, John R., Administrative Counselor, U.S. Embassy in Montevideo [1991, 1992]",baca-john-r
"Baena Soares, Joao Clemente","Director General, Organization of American States","Senior regional-policy role; Name appears in site record metadata or OCR candidate text",0,,,yes,5,0,5,0,0,Brazil,,,,"January 31, 1989 - High - Memorandum of Conversation Between the; February 2, 1989 - High - Transmittal to the State Department of a; February 16, 1989 - Medium - Letter from President Bush thanking OAS; February 17, 1989 - High - Letter to OAS Secretary General Baena Soares; Medium - Secretary General of the OAS Meeting",,,"baena soares joao clemente; joao baena soares; joao clemente baena soares","Baena Soares, Joao Clemente, Director General, Organization of American States",baena-soares-joao-clemente
"Baez, Eduardo J.","Labor Attache, U.S. Embassy in Bogota [1989, 1990]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"baez eduardo j; eduardo baez; eduardo j baez","Baez, Eduardo J., Labor Attache, U.S. Embassy in Bogota [1989, 1990]",baez-eduardo-j
"Baker, James Addison, III","Secretary of State from January 25, 1989, until August 23, 1992; White House Chief of Staff from August 24, 1992, until January 20, 1993","Core U.S. principal for Bush 41 South America records; Name appears in site record metadata or OCR candidate text",0,,,yes,8,0,7,1,0,"Brazil; Venezuela",,,,"February 25, 1989 - High - President's Meeting with President; March 2, 1989 - High - Meeting with President Vinicio Cerezo of Guatemala; April 1, 1989 - High - Meeting with President Carlos Andres Perez of; April 1, 1989 - High - Meeting with President Carlos Andres Perez of; April 1, 1989 - High - Meeting with President Carlos Perez of; April 1, 1989 - High - Meeting with President Carlos Perez of; April 1, 1989 - High - Meeting with President Carlos Perez of",1989-04-01 - Statement by Press Secretary Fitzwater on President Bush's Meeting With President Carlos Andres Perez of Venezuela,,"baker james addison iii; james addison baker; james baker","Baker, James Addison, III, Secretary of State from January 25, 1989, until August 23, 1992; White House Chief of Staff from August 24, 1992, until January 20, 1993",baker-james-addison-iii
"Bakota, Carlos","Public Affairs Officer, U.S. Embassy in Paramaribo [1989-1991]; Country Officer, Office of American Republics Affairs, United States Information Agency [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"bakota carlos; carlos bakota","Bakota, Carlos, Public Affairs Officer, U.S. Embassy in Paramaribo [1989-1991]; Country Officer, Office of American Republics Affairs, United States Information Agency [1992]",bakota-carlos
"Barco Vargas, Virgilio","President of Colombia until August 7, 1990","South America country or capital in name authority entry; Name appears in site record metadata or OCR candidate text",0,,,yes,15,0,12,3,0,"Bolivia; Colombia; Peru",,,,"August 21, 1989 - Medium - Telephone Conversation with Virgilio Barco; August 21, 1989 - Medium - Telephone Conversation with Virgilio Barco; August 28, 1989 - High - PARTICIPANTS:; August 28, 1989 - High - Telephone Conversation with Virgilio Barco; September 15, 1989 - High - Request for the President to Meet with; September 26, 1989 - High - Memorandum of Telephone Conversation with; September 26, 1989 - High - Memorandum of Telephone Conversation with; October 30, 1989 - High - Telephone Call to Colombian President; October 30, 1989 - High - Telephone Call to Colombian President; November 20, 1989 - Medium - Memorandum of Telephone Conversation with; November 22, 1989 - High - Telephone Call to Colombian President; Medium - Memorandum of Telephone Conversation with","1989-08-21 - Statement by Press Secretary Fitzwater on President Bush's Telephone Conversation With President Virgilio Barco Vargas of Colombia; 1989-09-28 - Statement by Press Secretary Fitzwater on President Bush's Meeting With President Virgilio Barco Vargas of Colombia; 1990-01-10 - Statement by Deputy Press Secretary Popadiuk on President Bush's Telephone Conversation With President Virgilio Barco Vargas of Colombia",,"barco vargas virgilio; virgilio barco vargas","Barco Vargas, Virgilio, President of Colombia until August 7, 1990",barco-vargas-virgilio
"Barkell, William H.","Consul, U.S. Embassy in Santiago [1989]; Office of International Development Assistance, Office of the Deputy Assistant Secretary for International Development and Technical Specialized Agency Affairs, Bureau of International Organization Affairs, Department of State [1990]; Chief for International Affairs, Office of Freely Associated State Affairs, Bureau of East Asian and Pacific Affairs, Department of State [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"barkell william h; william barkell; william h barkell","Barkell, William H., Consul, U.S. Embassy in Santiago [1989]; Office of International Development Assistance, Office of the Deputy Assistant Secretary for International Development and Technical Specialized Agency Affairs, Bureau of International Organization Affairs, Department of State [1990]; Chief for International Affairs, Office of Freely Associated State Affairs, Bureau of East Asian and Pacific Affairs, Department of State [1992]",barkell-william-h
"Barmon, Kathleen W.","Labor Attache, U.S. Embassy in Tegucigalpa [1989-1992]; Labor Attache, U.S. Embassy in Bogota [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"barmon kathleen w; kathleen barmon; kathleen w barmon","Barmon, Kathleen W., Labor Attache, U.S. Embassy in Tegucigalpa [1989-1992]; Labor Attache, U.S. Embassy in Bogota [1992]",barmon-kathleen-w
"Barrera, Manuel","Deputy Director, Office of Regional and Multilateral Force and Observers Affairs, Bureau of Near Eastern and South Asian Affairs, Department of State [1989, 1990]; Division Chief, Office of Energy-Consumer Affairs, (Energy, Resources, and Food Policy), Bureau of Economic and Business Affairs, Department of State [1990, 1991]; Division Chief, Office of Energy-Producer Country Affairs, (Energy, Resources, and Food Policy), Bureau of Economic and Business Affairs, Department of State [1992]; Deputy Chief of Mission, U.S. Embassy in Georgetown [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"barrera manuel; manuel barrera","Barrera, Manuel, Deputy Director, Office of Regional and Multilateral Force and Observers Affairs, Bureau of Near Eastern and South Asian Affairs, Department of State [1989, 1990]; Division Chief, Office of Energy-Consumer Affairs, (Energy, Resources, and Food Policy), Bureau of Economic and Business Affairs, Department of State [1990, 1991]; Division Chief, Office of Energy-Producer Country Affairs, (Energy, Resources, and Food Policy), Bureau of Economic and Business Affairs, Department of State [1992]; Deputy Chief of Mission, U.S. Embassy in Georgetown [1992]",barrera-manuel
"Beall, David R.","Director, Office of Brazilian Affairs, Bureau of Inter-American Affairs, Department of State [1989]; Deputy Chief of Mission, U.S. Embassy in Panama City [1990-1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"beall david r; david beall; david r beall","Beall, David R., Director, Office of Brazilian Affairs, Bureau of Inter-American Affairs, Department of State [1989]; Deputy Chief of Mission, U.S. Embassy in Panama City [1990-1992]",beall-david-r
"Becker, David C.","Political, Economic, and Commercial Counselor, U.S. Embassy in Ouagadougou [1989, 1990]; Office of Andean Affairs, Bureau of Inter-American Affairs, Department of State [1990-1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"becker david c; david becker; david c becker","Becker, David C., Political, Economic, and Commercial Counselor, U.S. Embassy in Ouagadougou [1989, 1990]; Office of Andean Affairs, Bureau of Inter-American Affairs, Department of State [1990-1992]",becker-david-c
"Beffel, Edwin L.","Consul, U.S. Embassy in Brasilia [1989-1991]; Consul, U.S. Consulate at Tijuana [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"beffel edwin l; edwin beffel; edwin l beffel","Beffel, Edwin L., Consul, U.S. Embassy in Brasilia [1989-1991]; Consul, U.S. Consulate at Tijuana [1992]",beffel-edwin-l
"Behrend, Richard W.","Economic Counselor, U.S. Embassy in Santiago [1991, 1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"behrend richard w; richard behrend; richard w behrend","Behrend, Richard W., Economic Counselor, U.S. Embassy in Santiago [1991, 1992]",behrend-richard-w
"Bennett, William J.","Director, Office of National Drug Control Policy from March 13, 1989, until November 1990","Core U.S. principal for Bush 41 South America records; Name appears in site record metadata or OCR candidate text",0,,,yes,3,0,1,2,0,"Bolivia; Colombia; Peru",,,,High - Re: Counternarcotics To:,"1989-02-08 - Remarks and a Question-and-Answer Session With Reporters Prior to a Meeting With William J. Bennett; 1989-03-03 - Remarks on Drug Trafficking Prior to a Luncheon With Administration Officials",,"bennett william j; william bennett; william j bennett","Bennett, William J., Director, Office of National Drug Control Policy from March 13, 1989, until November 1990",bennett-william-j
"Benson, James H.","Southern Europe Division, Office of Analysis for Western Europe and Canada, Bureau of Intelligence and Research, Department of State [1990]; Labor Attache, U.S. Embassy in Quito [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"benson james h; james benson; james h benson","Benson, James H., Southern Europe Division, Office of Analysis for Western Europe and Canada, Bureau of Intelligence and Research, Department of State [1990]; Labor Attache, U.S. Embassy in Quito [1992]",benson-james-h
"Berry, Gregory L.","Labor Attache, U.S. Embassy in La Paz [1989, 1990]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"berry gregory l; gregory berry; gregory l berry","Berry, Gregory L., Labor Attache, U.S. Embassy in La Paz [1989, 1990]",berry-gregory-l
"Boland, Denise","South America Division, Office of Analysis for Inter-American Republics, Bureau of Intelligence and Research, Department of State [1991, 1992]; Consul, U.S. Embassy in Asuncion [1992]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"boland denise; denise boland","Boland, Denise, South America Division, Office of Analysis for Inter-American Republics, Bureau of Intelligence and Research, Department of State [1991, 1992]; Consul, U.S. Embassy in Asuncion [1992]",boland-denise
"Boorstein, Michael A.","Administrative Counselor, U.S. Embassy in Caracas [1989, 1990]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"boorstein michael a; michael a boorstein; michael boorstein","Boorstein, Michael A., Administrative Counselor, U.S. Embassy in Caracas [1989, 1990]",boorstein-michael-a
"Borja Cevallos, Rodrigo","President of Ecuador until August 10, 1992","South America country or capital in name authority entry; Name appears in site record metadata or OCR candidate text",0,,,yes,1,0,0,1,0,"Bolivia; Colombia; Ecuador; Peru",,,,,1990-07-23 - Remarks Following Discussions With President Rodrigo Borja Cevallos of Ecuador,,"borja cevallos rodrigo; rodrigo borja cevallos","Borja Cevallos, Rodrigo, President of Ecuador until August 10, 1992",borja-cevallos-rodrigo
"Bowers, Charles R.","Executive Assistant to the Under Secretary of State for Management [1990, 1991]; U.S. Ambassador to Bolivia from August 23, 1991",South America country or capital in name authority entry,0,,,yes,1,0,0,1,0,Bolivia,,,,,1991-04-12 - Nomination of Charles R. Bowers To Be United States Ambassador to Bolivia,,"bowers charles r; charles bowers; charles r bowers","Bowers, Charles R., Executive Assistant to the Under Secretary of State for Management [1990, 1991]; U.S. Ambassador to Bolivia from August 23, 1991",bowers-charles-r
"Bowman, Francine L.","Administrative Counselor, U.S. Embassy in Asuncion [1989, 1990]",South America country or capital in name authority entry,0,,,no,0,0,0,0,0,,,,,,,,"bowman francine l; francine bowman; francine l bowman","Bowman, Francine L., Administrative Counselor, U.S. Embassy in Asuncion [1989, 1990]",bowman-francine-l
