priority,score,countries,document_date,document_type,document_no,document_title,source_series,local_identifier,folder_title,folder_naid,page_start,page_end,extraction,themes,review_reason,ocr_snippet,access_restriction,source_note,page_link,pdf_url,catalog_url
High,100,,"January 22, 1992",Briefing Paper,,BACKGROUND PAPER ON ENTERPRISE FOR THE AMERICAS INITIATIVE SUBJECT. ACTION FYI ACTION = FYI,Timothy E. Deal Subject Files,CF00962-019,Enterprise for the Americas Initiative (EAI),452050545,7,,ocr-document-start,"enterprise for the americas; debt and economy; presidential diplomacy","Presidential or NSC principals; enterprise for the americas, debt and economy, presidential diplomacy; document text visible in OCR","ZSocument No. WHITE HOUSE STAFFING MEMORANDUM sate, 1/18/92 ACTICN/CONCURRENCE CCMMENT cue ay 1722/92 COB BACKGROUND PAPER ON ENTERPRISE FOR THE AMERICAS INITIATIVE SUBJECT. ACTION FYI ACTION = FYI VICE PRESIDENT - wv HORNER —- = SKINNER _ 4 MCCLURE ‘4 — scowCRORt oom PETERSMEYER —- = ODARMAN vo _ PORTER r4 _ BRADY Y ROGICH — _ BROMLEY _ _ SMITH = = CARD - ¥ —— | v = DEMAREST ox _ a ws _ FITZWATER a vA _—_ GRAY A _ _",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00962, CF00962-019, Enterprise for the Americas Initiative (EAI). Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-019.pdf#page=7,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-019.pdf,https://catalog.archives.gov/id/452050545
High,92,,6/11/90,Memorandum,09.,From Meg Lundsager to Brent Scowcroft Re: Briefing Memo on Debt for the President,Timothy E. Deal Subject Files,CF00964-010,Latin America [2],452050579,3,,withdrawal-sheet,"debt and economy; presidential diplomacy; regional policy","memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, regional policy; identified on withdrawal sheet",09. Memo From Meg Lundsager to Brent Scowcroft 6/11/90 (b)(1) S Re: Briefing Memo on Debt for the President (1 pp.) 10. List Working Group [redaction] (1 pp.) n.d. (b)(3) 11. Memo From Nicholas Brady to the Economic Policy Council 4/11/90 (b)(1) S Re: U.S. Economic Policy Toward Latin America (2 pp.),Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00964, CF00964-010, Latin America [2]. Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-010.pdf#page=3,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-010.pdf,https://catalog.archives.gov/id/452050579
High,92,"Argentina; Brazil","December 6, 1990",Memorandum,,Uruguay Round Report,Timothy E. Deal Subject Files,CF00972-031,Uruguay Round [6],452050622,6,,ocr-document-start,"debt and economy; presidential diplomacy; trade policy; environment","memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, trade policy; document text visible in OCR","Same 3 MED 1S DEC wy Sis4c PYp te ' —CONFIDENTIAL _ THE UNITED STATES TRADE REPRESENTATIVE Exeoutive Office of the Presikient Washington, D.C. 20606 December 6, 1990 MEMORANDUM FOR THE PRESIDENT FROM: Carla A. Hi1scom SUBJECT: Uruguay Round Report Readlock in Aqriculture Continues At the Heads of Delegation meeting today, December s, several ministers (Australia, New Zealand, Brazil, Argentina, Uruguay, and Canada) c",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00972, CF00972-031, Uruguay Round [6]. Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-031.pdf#page=6,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-031.pdf,https://catalog.archives.gov/id/452050622
High,92,,"February 28, 1992",Memorandum,,Markup on Foreign Operations Appropriation Bill,Timothy E. Deal Subject Files,CF00962-019,Enterprise for the Americas Initiative (EAI),452050545,25,,ocr-document-start,"enterprise for the americas; debt and economy; presidential diplomacy","memorandum form; Presidential or NSC principals; enterprise for the americas, debt and economy, presidential diplomacy; document text visible in OCR","THE SECRETARY OF THE TREASURY WASHINGTON February 28, 1992 MEMORANDUM FOR GENERAL SCOWCROFT FROM: Nicholas F. Brady LK SUBJECT: Markup on Foreign Operations Appropriation Bill We have just learned that on Tuesday next week, Senator Leahy’s Subcommittee will likely be marking up the Foreign Operations Appropriations bill. I am told that there has been some quiet movement on the Israeli housing guarantees issue in the",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00962, CF00962-019, Enterprise for the Americas Initiative (EAI). Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-019.pdf#page=25,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-019.pdf,https://catalog.archives.gov/id/452050545
High,92,,"March 2, 1992",Memorandum,,Enterprise for the Americas (EAI) Strategy Meeting,Timothy E. Deal Subject Files,CF00962-019,Enterprise for the Americas Initiative (EAI),452050545,21,,ocr-document-start,"enterprise for the americas; debt and economy; presidential diplomacy","memorandum form; Presidential or NSC principals; enterprise for the americas, debt and economy, presidential diplomacy; document text visible in OCR","eres cto: rer rn ee NATIONAL SECURITY COUNCIL WASHINGTON. D.C. 20506 March 2, 1992 ACTION MEMORANDUM FOR BRENT SCOWCROFT THROUGH: TIMOTHY beat vircrwzal eA LAMP LEY FROM: ERIC MELBY‘\M ° SUBJECT: Enterprise for the Americas (EAI) Strategy Meeting with the President, Monday, March 2, 4:00 p.m., Oval Office At Secretary Brady’s request, the President is meeting with senior advisors to discuss legislative strategy for t",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00962, CF00962-019, Enterprise for the Americas Initiative (EAI). Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-019.pdf#page=21,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-019.pdf,https://catalog.archives.gov/id/452050545
High,90,"Bolivia; Colombia; Peru",,Talking Points,,ABOVE AND THE TALKING POINTS IN PARAS 4-114 AMBASSADOR IS REQUESTED TO. SEEK A MEETING WITH PRESIDENT BARCO AT THE EARLIEST OPPORTUNITY TO SHARE OUR VIEWS OF WHAT THE SUMMIT IS,Latin American Affairs Directorate Subject Files,CF00189-003,Andean [Drug] Summit 1989 [2],470766476,22,,ocr-document-start,"Andean; drug; narcotics; presidential diplomacy","Presidential or NSC principals; Andean, drug, narcotics; document text visible in OCR","~CONFIDENTTAL 3 ABOVE AND THE TALKING POINTS IN PARAS 4-114 AMBASSADOR IS REQUESTED TO. SEEK A MEETING WITH PRESIDENT BARCO AT THE EARLIEST OPPORTUNITY TO SHARE OUR VIEWS OF WHAT THE SUMMIT IS TO ACCOMPLISH, SOLICIT HIS VIEWS ON THIS SUBJECT AND REPORT HIS REACTIONS. S. US SUMMIT PLANNING: THE ANDEAN SUMMIT HAS BEEN TENTATIVELY SCHEDULED FOR FEBRUARY U5-1b. SERIOUS CONSIDERATION IS BEING GIVEN TO HOLDING THE SUMMIT I",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-003, Andean [Drug] Summit 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-003.pdf#page=22,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-003.pdf,https://catalog.archives.gov/id/470766476
High,90,"Bolivia; Colombia; Peru",,Memorandum,,Andean Drug Summit 124 -,Latin American Affairs Directorate Subject Files,CF00194-013,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [1]",470766550,29,,ocr-document-start,"narcotics; drug; presidential diplomacy","memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR","a CONFIDENT A 5 Macedon conPrDENTrAT bern: 7251 mary NATIONAL SECURITY COUNCIL atie WASHINGTON, D.C. 20506 INFORMATION MEMORANDUM FOR BRENT SCOWCROFT of oe. 7 2 yr 2h, aha THROUGH: DAVID C. MILLER, JR./EVERETT BRIGGS FROM: RANDY BEERS ag SUBJECT: Andean Drug Summit 124 - - Om S The following is a concept for an Andean drug summit sere objectives, timing, and participation. Ss) Objectives: -~ The principal objective i",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-013, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-013.pdf#page=29,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-013.pdf,https://catalog.archives.gov/id/470766550
High,90,Colombia,,Memorandum,,Andean Trade Initiative,Latin American Affairs Directorate Subject Files,CF00189-002,Andean [Drug] Summit 1989 [1],470766475,73,,ocr-document-start,"Andean; drug; narcotics; debt and economy; presidential diplomacy","memorandum form; Presidential or NSC principals; Andean, drug, narcotics; document text visible in OCR","8456 THE WHITE HOUSE WASHINGTON NEFORMATION DRA MEMORANDUM FOR THE PRESIDENT FT FROM: BRENT SCOWCROFT SUBJECT: Andean Trade Initiative Purpose To inform you about an inter-agency agreed Andean Trade Initiative. Backqround After your meeting with President Barco of Colombia on September 28, you instructed Ambassador Hills to lead an inter-agency effort to examine ways the U.S. could expand economic cooperation with Co",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-002, Andean [Drug] Summit 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf#page=73,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf,https://catalog.archives.gov/id/470766475
High,90,,,Memorandum,,Andean Trade Package,Latin American Affairs Directorate Subject Files,CF00189-002,Andean [Drug] Summit 1989 [1],470766475,74,,ocr-document-start,"Andean; drug; narcotics; debt and economy; presidential diplomacy","memorandum form; Presidential or NSC principals; Andean, drug, narcotics; document text visible in OCR","8456 NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 DRAFT MEMORANDUM FOR JAMES W. CICCONI FROM: G. PHILIP HUGHES SUBJECT: Andean Trade Package At Tab A is a draft press release on the Andean Trade package, which the President requested USTR Hills to develop. We propose that the package be announced early next week. The draft press release has been cleared by State and USTR. Attachment Tab aA Draft Press Release cc:",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-002, Andean [Drug] Summit 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf#page=74,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf,https://catalog.archives.gov/id/470766475
High,90,"Guyana; Venezuela",,Action Memo,,Appointment for Guyana Prime Minister Burnham,Latin American Directorate Chronological Files,CF00301-006,"April 16, 1989-April 30, 1989 [3]",470766423,84,,ocr-document-start,"democracy; presidential diplomacy","memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","a WAIUMINGTOR ACTION CONFIDENTIAL Tuesday - July 23, 1968 LBJ LIBRARY TO: The President. Mandatory Review Case # NLIP3-a04/ FROM: W. W. Rostow Document 4 4G SUBJECT: Appointment for Guyana Prime Minister Burnham Prime Minister Burnham is now making a private visit to the United States and Canada. He is involved in several activities, but the prin- cipal purpose of the trip is to see how plans are proceeding to obtain",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-006, April 16, 1989-April 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-006.pdf#page=84,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-006.pdf,https://catalog.archives.gov/id/470766423
